feature;importance;importance_percentage;cumulative_importance_percentage
bullish_bid_score;0.0;0.0;100.00001
bearish_dsc_ask_bid_imbalance;0.0;0.0;100.00001
ratio_delta_vol_VA6P;0.0;0.0;100.00001
is_in_range_5_23;0.0;0.0;100.00001
is_in_range_10_32;0.0;0.0;100.00001
poc_diff_6P_16P;0.0;0.0;100.00001
diffPriceClose_VA21PvaH;0.0;0.0;100.00001
diffPriceClose_VA16PvaH;0.0;0.0;100.00001
diffPriceClose_VA11PvaH;0.0;0.0;100.00001
diffPriceClose_VA6PvaH;0.0;0.0;100.00001
diffLowPrice_0_1;0.0;0.0;100.00001
bearish_asc_ask_bid_imbalance;0.0;0.0;100.00001
diffHighPrice_0_3;0.0;0.0;100.00001
diffHighPrice_0_2;0.0;0.0;100.00001
diffHighPrice_0_1;0.0;0.0;100.00001
diffPriceClosePoc_0_3;0.0;0.0;100.00001
diffPriceClosePoc_0_1;0.0;0.0;100.00001
diffPriceClosePoc_0_0;0.0;0.0;100.00001
candleSizeTicks;0.0;0.0;100.00001
bearish_reversal_force;0.0;0.0;100.00001
ratioDeltaAbv;0.0;0.0;100.00001
VolPocVolCandleRatio;0.0;0.0;100.00001
VolAbv_vol_ratio;0.0;0.0;100.00001
bullish_asc_dynamics;0.0;0.0;100.00001
bullish_repeat_ticks_ratio_extrem;0.0;0.0;100.00001
bullish_continuation_vs_reversal_extrem;0.0;0.0;100.00001
bullish_extrem_vs_rest_activity_extrem;0.0;0.0;100.00001
bearish_extrem_vs_rest_activity_extrem;0.0;0.0;100.00001
bullish_extrem_abs_ratio_extrem;0.0;0.0;100.00001
bullish_extrem_pressure_ratio_extrem;0.0;0.0;100.00001
bullish_extrem_zone_volume_ratio_extrem;0.0;0.0;100.00001
bullish_extrem_revIntensity_ratio_extrem;0.0;0.0;100.00001
bullish_abs_diff_blw;0.0;0.0;100.00001
bullish_bid_abs_ratio_blw;0.0;0.0;100.00001
bullish_ask_abs_ratio_blw;0.0;0.0;100.00001
finished_auction_low;0.0;0.0;100.00001
bearish_ask_ratio;0.0;0.0;100.00001
asymetrie_volume;0.0;0.0;100.00001
naked_poc_dist_below;0.0;0.0;100.00001
