Interaction;Value;Percentage_Contribution
finished_auction_high <-> perct_VA16P;36.0111;0.2760
bullish_combined_pressure <-> bearish_asc_dsc_ratio;35.8404;0.2746
bullish_dsc_ask_bid_delta_imbalance <-> atr;35.8091;0.2744
bearish_extrem_pressure_ratio_extrem <-> bearish_dsc_dynamics;35.2968;0.2705
bear_imbalance_high_3 <-> bearish_extrem_pressure_ratio_extrem;35.2583;0.2702
bearish_asc_ask_bid_delta_imbalance <-> bear_imbalance_high_3;35.2321;0.2700
bearish_ask_score <-> bear_imbalance_high_2;35.1503;0.2694
diffLowPrice_0_4 <-> bearish_extrem_revIntensity_ratio_extrem;35.0944;0.2689
VolCandleMeanxRatio <-> bear_imbalance_low_0;35.0477;0.2686
bull_imbalance_high_0 <-> bearish_market_context_score;34.8793;0.2673
bearish_extrem_revIntensity_ratio_extrem <-> deltaTimestampOpeningSection5min;34.1492;0.2617
deltaTimestampOpeningSection1min <-> bearish_bid_score;34.1017;0.2613
diffVolDelta_0_1Ratio <-> bullish_asc_ask_bid_delta_imbalance;34.0776;0.2611
perct_VA21P <-> bearish_asc_ask_bid_delta_imbalance;33.8308;0.2592
diffPriceClosePoc_0_4 <-> ratio_delta_vol_VA21P;33.7608;0.2587
bearish_dsc_ask_bid_delta_imbalance <-> bull_imbalance_high_2;33.5991;0.2575
bearish_extrem_abs_ratio_extrem <-> overlap_ratio_VA_6P_16P;33.2891;0.2551
deltaTimestampOpeningSection1min <-> ratio_delta_vol_VA21P;33.2599;0.2549
finished_auction_high <-> bearish_abs_diff_abv;33.2413;0.2547
diffLowPrice_0_2 <-> diffPriceClosePoc_0_4;33.1531;0.2540
extrem_asc_dsc_comparison_bearish_extrem <-> price_volume_dynamic;33.1203;0.2538
extrem_asc_dsc_comparison_bearish_extrem <-> bearish_absorption_score;33.0857;0.2535
bull_imbalance_high_0 <-> bearish_extrem_revIntensity_ratio_extrem;32.9472;0.2525
bullish_dsc_ask_bid_delta_imbalance <-> perct_VA21P;32.7981;0.2513
imbalance_score_low <-> bullish_dsc_dynamics;32.7870;0.2512
bullish_repeatAskBid_ratio <-> bearish_dsc_ask_bid_delta_imbalance;32.7332;0.2508
bearish_absorption_intensity_repeat_count <-> perctBB;32.4159;0.2484
bullish_asc_ask_bid_delta_imbalance <-> extrem_asc_ratio_bearish_extrem;32.1630;0.2465
bearish_repeatAskBid_ratio <-> bear_imbalance_high_1;32.1369;0.2463
bull_imbalance_low_3 <-> market_regimeADX;32.1154;0.2461
overlap_ratio_VA_11P_21P <-> diffVolCandle_0_1Ratio;31.9673;0.2450
bearish_extrem_pressure_ratio_extrem <-> diffPriceCloseVWAP;31.6032;0.2422
bullish_imnbScore_score <-> diffPriceClose_VA6PvaL;31.4995;0.2414
bullish_imbalance_evolution <-> diffPriceClose_VA16PPoc;31.4922;0.2413
perct_VA16P <-> absorption_intensity_repeat_bearish_vol;31.4204;0.2408
diffPriceCloseVWAP <-> bullish_absorption_score;31.3564;0.2403
bull_imbalance_high_1 <-> diffPriceClosePoc_0_4;31.1758;0.2389
ratio_delta_vol_VA21P <-> bearish_extrem_revIntensity_ratio_extrem;31.1630;0.2388
bearish_extrem_abs_ratio_extrem <-> bearish_ask_score;30.8326;0.2363
diffLowPrice_0_5 <-> bearish_absorption_intensity_repeat_count;30.3724;0.2327
diffLowPrice_0_3 <-> diffPriceClosePoc_0_4;30.0008;0.2299
bearish_extrem_abs_ratio_extrem <-> diffLowPrice_0_3;29.9761;0.2297
bearish_dsc_ask_bid_delta_imbalance <-> bear_imbalance_high_3;29.6979;0.2276
VolCandleMeanxRatio <-> bearish_extrem_revIntensity_ratio_extrem;29.6110;0.2269
poc_diff_ratio_11P_21P <-> diffPriceClose_VA16PvaL;29.5780;0.2267
range_strength_5_23 <-> bullish_dsc_dynamics;29.4102;0.2254
bull_imbalance_low_2 <-> bearish_absorption_intensity_repeat_count;29.3117;0.2246
bearish_asc_ask_bid_imbalance <-> range_strength_10_32;29.1808;0.2236
absorption_intensity_repeat_bullish_vol <-> bearish_extrem_vs_rest_activity_extrem;29.1521;0.2234
diffPriceClosePoc_0_2 <-> diffPriceCloseVWAP;29.1207;0.2231
naked_poc_dist_above <-> bearish_repeatAskBid_ratio;29.0110;0.2223
bullish_asc_dsc_ratio <-> bearish_bid_abs_ratio_abv;28.9696;0.2220
bull_imbalance_low_1 <-> poc_diff_ratio_6P_21P;28.6854;0.2198
bull_imbalance_low_1 <-> overlap_ratio_VA_6P_16P;28.6293;0.2194
perctBB <-> bearish_repeatAskBid_ratio;28.4556;0.2181
range_strength_10_32 <-> bullish_asc_ask_bid_delta_imbalance;28.3886;0.2175
overlap_ratio_VA_11P_21P <-> bearish_absorption_intensity_repeat_count;28.2359;0.2164
bearish_ask_score <-> bearish_asc_ask_bid_delta_imbalance;28.0863;0.2152
bear_imbalance_low_0 <-> diffLowPrice_0_5;28.0348;0.2148
diffPriceCloseVWAPbyIndex <-> diffPriceClosePoc_0_1;28.0278;0.2148
ratio_delta_vol_VA21P <-> bullish_asc_ask_bid_delta_imbalance;28.0037;0.2146
bullish_ask_bid_ratio <-> bearish_combined_pressure;27.8336;0.2133
bear_imbalance_high_1 <-> bearish_dsc_ask_bid_delta_imbalance;27.7636;0.2128
poc_diff_6P_21P <-> bear_imbalance_low_2;27.5946;0.2115
diffPriceClosePoc_0_1 <-> bearish_market_context_score;27.4640;0.2105
bull_imbalance_high_0 <-> poc_diff_6P_21P;27.3806;0.2098
vol_volatility_score <-> poc_diff_6P_11P;27.2252;0.2086
price_volume_dynamic <-> bullish_absorption_score;27.1994;0.2084
diffPriceCloseVWAP <-> ratioDeltaAbv;26.7626;0.2051
bear_imbalance_low_0 <-> bandWidthBB;26.6630;0.2043
bull_imbalance_high_0 <-> diffPriceClosePoc_0_5;26.6240;0.2040
vol_volatility_score <-> bearish_extrem_revIntensity_ratio_extrem;26.5992;0.2038
bull_imbalance_low_2 <-> bullish_absorption_score;26.4876;0.2030
poc_diff_11P_21P <-> bear_imbalance_high_2;26.4398;0.2026
VolCandleMeanxRatio <-> cumDiffVolDeltaRatio;26.2592;0.2012
range_strength_10_32 <-> absorption_intensity_repeat_bearish_vol;26.1638;0.2005
bullish_ask_abs_ratio_blw <-> naked_poc_dist_above;26.1621;0.2005
diffHighPrice_0_4 <-> bullish_ask_abs_ratio_blw;25.9545;0.1989
diffPriceClose_VA16PPoc <-> diffPriceCloseVWAP;25.8579;0.1981
bearish_extrem_pressure_ratio_extrem <-> overlap_ratio_VA_6P_11P;25.7629;0.1974
bullish_absorption_ratio <-> bullish_market_context_score;25.6600;0.1966
bear_imbalance_high_2 <-> perct_VA16P;25.4810;0.1953
cumDiffVolDeltaRatio <-> diffPriceCloseVWAP;25.2308;0.1933
bearish_extrem_dsc_ratio_extrem <-> range_strength_10_32;25.2188;0.1932
bearish_asc_ask_bid_imbalance <-> diffPriceClose_VA11PPoc;25.1460;0.1927
perct_VA11P <-> diffPriceCloseVWAP;25.0430;0.1919
bullish_dsc_dynamics <-> cumDiffVolDeltaRatio;24.8008;0.1900
imbalance_score_high <-> range_strength_5_23;24.7773;0.1899
bear_imbalance_high_3 <-> bearish_combined_pressure;24.6973;0.1893
VolCandleMeanxRatio <-> bearish_continuation_vs_reversal_extrem;24.6562;0.1889
ratio_delta_vol_VA16P <-> diffPriceCloseVWAP;24.6031;0.1885
diffVolCandle_0_1Ratio <-> bearish_dsc_ask_bid_delta_imbalance;24.4478;0.1873
bearish_bid_abs_ratio_abv <-> extrem_zone_significance_bearish_extrem;24.3310;0.1864
poc_diff_ratio_6P_16P <-> range_strength_10_32;23.9795;0.1838
bearish_asc_ask_bid_delta_imbalance <-> bearish_extrem_pressure_ratio_extrem;23.7398;0.1819
bull_imbalance_low_3 <-> bearish_extrem_abs_ratio_extrem;23.6600;0.1813
bearish_extrem_revIntensity_ratio_extrem <-> diffVolCandle_0_1Ratio;23.5816;0.1807
imbalance_score_high <-> bullish_asc_dsc_ratio;23.5273;0.1803
ratio_delta_vol_VA16P <-> naked_poc_dist_above;23.4981;0.1801
bear_imbalance_low_0 <-> bearish_asc_ask_bid_delta_imbalance;23.4515;0.1797
poc_diff_6P_11P <-> ratio_delta_vol_VA21P;23.4136;0.1794
bear_imbalance_high_3 <-> VolCandleMeanxRatio;23.3981;0.1793
naked_poc_dist_above <-> bearish_imbalance_evolution;23.2278;0.1780
bull_imbalance_high_0 <-> bearish_absorption_intensity_repeat_count;23.1624;0.1775
price_volume_dynamic <-> bullish_combined_pressure;23.1063;0.1771
deltaTimestampOpeningSection1min <-> diffPriceClose_VA6PPoc;23.0719;0.1768
range_strength_10_32 <-> bearish_extrem_revIntensity_ratio_extrem;22.9626;0.1760
deltaTimestampOpeningSection5min <-> ratio_delta_vol_VA11P;22.9273;0.1757
diffVolCandle_0_1Ratio <-> diffPriceCloseVWAP;22.7840;0.1746
bullish_absorption_score <-> bearish_absorption_score;22.7005;0.1740
bullish_combined_pressure <-> diffLowPrice_0_4;22.6574;0.1736
bear_imbalance_low_1 <-> vol_volatility_score;22.3536;0.1713
deltaTimestampOpeningSection5min <-> cumDiffVolDeltaRatio;22.2712;0.1707
bearish_bid_score <-> perct_VA21P;22.1896;0.1700
cumDiffVolDeltaRatio <-> absorption_intensity_repeat_bullish_vol;22.1471;0.1697
vol_volatility_score <-> deltaTimestampOpeningSection5min;22.0791;0.1692
bearish_absorption_score <-> ratio_delta_vol_VA16P;21.7428;0.1666
perctBB <-> range_strength_10_32;21.6763;0.1661
poc_diff_6P_11P <-> bear_imbalance_low_0;21.6401;0.1658
bullish_repeatAskBid_ratio <-> bearish_market_context_score;21.5823;0.1654
extrem_ask_bid_imbalance_bearish_extrem <-> poc_diff_ratio_6P_21P;21.4786;0.1646
bearish_asc_ask_bid_delta_imbalance <-> diffPriceClose_VA21PvaH;21.4573;0.1644
bullish_combined_pressure <-> bear_imbalance_high_3;21.4545;0.1644
diffPriceClosePoc_0_2 <-> VolBlw_vol_ratio;21.4444;0.1643
bear_imbalance_high_3 <-> price_volume_dynamic;21.4418;0.1643
bullish_absorption_intensity_repeat_count <-> diffVolDelta_0_1Ratio;21.3123;0.1633
diffPriceClose_VA21PvaH <-> bearish_absorption_intensity_repeat_count;21.3117;0.1633
naked_poc_dist_above <-> bearish_continuation_vs_reversal_extrem;21.1803;0.1623
perct_VA11P <-> bullish_repeatAskBid_ratio;21.0407;0.1612
deltaTimestampOpeningSection1min <-> diffPriceCloseVWAP;20.8907;0.1601
range_strength_5_23 <-> overlap_ratio_VA_6P_16P;20.8588;0.1598
