Interaction;Value;Percentage_Contribution
bearish_asc_dynamics <-> diffPriceCloseVWAP;42.7457;0.2416
ratio_delta_vol_VA21P <-> price_volume_dynamic;42.6220;0.2409
perct_VA6P <-> bullish_dsc_ask_bid_delta_imbalance;42.3577;0.2394
perct_VA6P <-> perctBB;42.2041;0.2385
bearish_absorption_intensity_repeat_count <-> bullish_asc_ask_bid_delta_imbalance;41.7767;0.2361
vol_volatility_score <-> bullish_imnbScore_score;41.6280;0.2352
finished_auction_high <-> bearish_asc_dynamics;41.5118;0.2346
bearish_combined_pressure <-> bandWidthBB;41.4712;0.2344
bear_imbalance_low_2 <-> perct_VA6P;41.3946;0.2339
bear_imbalance_high_3 <-> overlap_ratio_VA_11P_21P;41.1899;0.2328
diffPriceClose_VA16PvaH <-> bearish_dsc_ask_bid_imbalance;41.1773;0.2327
bullish_asc_dsc_ratio <-> bullish_dsc_ask_bid_delta_imbalance;40.9508;0.2314
diffPriceClose_VA11PvaH <-> bullish_combined_pressure;40.7071;0.2300
bandWidthBB <-> bullish_absorption_score;40.6026;0.2294
bear_imbalance_low_2 <-> bearish_dsc_ask_bid_delta_imbalance;40.4619;0.2286
imbalance_score_high <-> diffVolCandle_0_1Ratio;40.3742;0.2282
poc_diff_ratio_6P_16P <-> deltaTimestampOpeningSection5min;40.3730;0.2281
perct_VA11P <-> bearish_absorption_intensity_repeat_count;40.2401;0.2274
bear_imbalance_high_2 <-> bullish_asc_ask_bid_delta_imbalance;40.1139;0.2267
bearish_asc_ask_bid_delta_imbalance <-> bullish_absorption_score;39.6847;0.2243
perct_VA11P <-> bearish_imbalance_evolution;39.1867;0.2214
diffHighPrice_0_4 <-> diffPriceClose_VA11PvaH;39.1471;0.2212
bull_imbalance_low_2 <-> naked_poc_dist_above;39.1089;0.2210
bullish_dsc_ask_bid_delta_imbalance <-> bandWidthBB;38.8845;0.2197
overlap_ratio_VA_6P_11P <-> bull_imbalance_low_3;38.8725;0.2197
bearish_absorption_intensity_repeat_count <-> overlap_ratio_VA_6P_11P;38.6352;0.2183
bearish_bid_score <-> diffHighPrice_0_3;38.5213;0.2177
bearish_absorption_intensity_repeat_count <-> diffVolDelta_0_1Ratio;38.4321;0.2172
naked_poc_dist_above <-> overlap_ratio_VA_11P_21P;38.1869;0.2158
diffPriceClose_VA11PvaH <-> VolCandleMeanxRatio;38.1380;0.2155
ratio_delta_vol_VA11P <-> deltaTimestampOpeningSection5min;37.8753;0.2140
diffVolDelta_0_1Ratio <-> bullish_asc_ask_bid_delta_imbalance;37.5782;0.2124
bullish_combined_pressure <-> bearish_combined_pressure;37.5432;0.2122
diffVolCandle_0_1Ratio <-> bearish_market_context_score;37.4779;0.2118
bearish_dsc_ask_bid_imbalance <-> bearish_absorption_intensity_repeat_count;37.4208;0.2115
bandWidthBB <-> vol_volatility_score;37.1388;0.2099
bullish_dsc_ask_bid_delta_imbalance <-> diffPriceClose_VA11PvaH;37.1332;0.2098
bullish_imbalance_evolution <-> VolPocVolCandleRatio;37.1089;0.2097
deltaTimestampOpeningSection5min <-> bearish_absorption_intensity_repeat_count;36.8591;0.2083
bull_imbalance_high_0 <-> bearish_dsc_ask_bid_imbalance;36.8311;0.2081
bullish_imbalance_evolution <-> bearish_absorption_intensity_repeat_count;36.7545;0.2077
diffPriceClose_VA11PvaL <-> bullish_imnbScore_score;36.5945;0.2068
bullish_combined_pressure <-> bearish_dsc_ask_bid_imbalance;36.5661;0.2066
bullish_market_context_score <-> bull_imbalance_high_1;36.5298;0.2064
perct_VA11P <-> cumDiffVolDeltaRatio;36.2503;0.2048
bandWidthBB <-> bull_imbalance_high_0;35.8879;0.2028
bull_imbalance_high_1 <-> deltaTimestampOpeningSection5min;35.8757;0.2027
poc_diff_ratio_6P_16P <-> bearish_dsc_ask_bid_delta_imbalance;35.8434;0.2025
deltaTimestampOpeningSection5min <-> bullish_ask_ratio;35.6983;0.2017
bearish_dsc_ask_bid_delta_imbalance <-> bearish_absorption_intensity_repeat_count;35.5032;0.2006
perct_VA21P <-> bullish_imnbScore_score;35.4303;0.2002
naked_poc_dist_above <-> bear_imbalance_high_1;35.3685;0.1999
imbalance_score_high <-> pocDeltaPocVolRatio;35.0812;0.1982
VolPocVolCandleRatio <-> bearish_ask_score;34.9982;0.1978
bearish_repeatAskBid_ratio <-> diffHighPrice_0_4;34.8047;0.1967
overlap_ratio_VA_6P_21P <-> bearish_ask_abs_ratio_abv;34.5642;0.1953
bearish_combined_pressure <-> bull_imbalance_low_2;34.5366;0.1952
bullish_dsc_ask_bid_delta_imbalance <-> bear_imbalance_low_1;34.2318;0.1934
overlap_ratio_VA_6P_16P <-> bullish_market_context_score;34.2129;0.1933
bearish_absorption_intensity_repeat_count <-> pocDeltaPocVolRatio;34.0099;0.1922
diffHighPrice_0_3 <-> ratio_delta_vol_VA6P;33.8957;0.1915
bearish_ask_abs_ratio_abv <-> bearish_bid_abs_ratio_abv;33.8192;0.1911
ratio_delta_vol_VA11P <-> ratio_delta_vol_VA21P;33.8049;0.1910
range_strength_5_23 <-> diffPriceClose_VA21PvaL;33.7418;0.1907
perct_VA6P <-> bandWidthBB;33.6222;0.1900
bullish_asc_dsc_ratio <-> poc_diff_ratio_6P_16P;33.6071;0.1899
bear_imbalance_high_3 <-> perct_VA21P;33.5315;0.1895
bandWidthBB <-> bearish_ask_score;33.3485;0.1884
imbalance_score_high <-> bearish_combined_pressure;33.2147;0.1877
bearish_absorption_score <-> perct_VA6P;33.0224;0.1866
bullish_asc_dsc_ratio <-> bearish_imbalance_evolution;32.9896;0.1864
deltaTimestampOpeningSection5min <-> diffPriceClose_VA21PvaL;32.8909;0.1859
overlap_ratio_VA_11P_21P <-> bear_imbalance_high_1;32.7984;0.1853
bullish_absorption_score <-> bear_imbalance_high_1;32.6807;0.1847
bearish_dsc_ask_bid_delta_imbalance <-> bearish_ask_abs_ratio_abv;32.6154;0.1843
diffPriceClose_VA11PvaH <-> bearish_ask_abs_ratio_abv;32.5837;0.1841
bull_imbalance_low_3 <-> pocDeltaPocVolRatio;32.5390;0.1839
diffPriceClose_VA16PvaH <-> range_strength_5_23;32.5249;0.1838
bear_imbalance_high_3 <-> bearish_imbalance_evolution;32.3677;0.1829
bearish_asc_ask_bid_delta_imbalance <-> bearish_absorption_score;32.3530;0.1828
VolPocVolCandleRatio <-> perct_VA21P;32.3497;0.1828
bearish_ask_bid_ratio <-> diffPriceCloseVWAP;32.1817;0.1819
bearish_absorption_intensity_repeat_count <-> bull_imbalance_low_3;32.1391;0.1816
VolCandleMeanxRatio <-> diffVolDelta_0_1Ratio;32.1363;0.1816
finished_auction_high <-> bullish_absorption_score;31.9770;0.1807
bearish_imbalance_evolution <-> bullish_repeatAskBid_ratio;31.9010;0.1803
bear_imbalance_low_1 <-> bull_imbalance_high_0;31.8422;0.1799
poc_diff_ratio_6P_16P <-> diffPriceClose_VA21PvaL;31.7608;0.1795
bearish_bid_score <-> range_strength_5_23;31.7262;0.1793
bearish_ask_score <-> perct_VA21P;31.7046;0.1792
deltaTimestampOpeningSection5min <-> price_volume_dynamic;31.6762;0.1790
bear_imbalance_low_1 <-> overlap_ratio_VA_6P_16P;31.6015;0.1786
diffPriceClose_VA11PvaL <-> bullish_ask_ratio;31.4767;0.1779
poc_diff_ratio_6P_16P <-> finished_auction_high;31.3969;0.1774
bear_imbalance_low_2 <-> bearish_bid_score;31.3813;0.1773
diffPriceClosePoc_0_4 <-> bear_imbalance_high_3;31.2097;0.1764
bearish_ask_score <-> overlap_ratio_VA_6P_21P;31.1861;0.1762
range_strength_5_23 <-> perct_VA21P;31.1297;0.1759
ratio_delta_vol_VA21P <-> diffVolCandle_0_1Ratio;30.9725;0.1750
bullish_asc_ask_bid_delta_imbalance <-> overlap_ratio_VA_6P_16P;30.9725;0.1750
bearish_bid_score <-> perct_VA11P;30.9552;0.1749
bearish_absorption_intensity_repeat_count <-> diffLowPrice_0_5;30.9552;0.1749
overlap_ratio_VA_6P_21P <-> perct_VA6P;30.9447;0.1749
bear_imbalance_high_1 <-> diffPriceClosePoc_0_4;30.7299;0.1737
bullish_imbalance_evolution <-> cumDiffVolDeltaRatio;30.5493;0.1726
bullish_imnbScore_score <-> pocDeltaPocVolRatio;30.4406;0.1720
diffPriceCloseVWAP <-> bearish_bid_score;30.0924;0.1700
bearish_bid_abs_ratio_abv <-> pocDeltaPocVolRatio;29.8939;0.1689
bullish_asc_dsc_ratio <-> perct_VA21P;29.8526;0.1687
diffHighPrice_0_4 <-> diffVolDelta_0_1Ratio;29.8423;0.1686
bullish_absorption_score <-> VolPocVolCandleRatio;29.6514;0.1676
ratio_delta_vol_VA16P <-> deltaTimestampOpeningSection5min;29.6176;0.1674
bearish_bid_score <-> bullish_dsc_ask_bid_delta_imbalance;29.5883;0.1672
bearish_ask_abs_ratio_abv <-> bearish_repeatAskBid_ratio;29.5011;0.1667
perct_VA21P <-> naked_poc_dist_above;29.4492;0.1664
overlap_ratio_VA_6P_16P <-> diffVolCandle_0_1Ratio;29.1968;0.1650
bearish_bid_abs_ratio_abv <-> bullish_imnbScore_score;28.9654;0.1637
diffPriceClose_VA11PvaH <-> bullish_absorption_score;28.9072;0.1634
bearish_repeatAskBid_ratio <-> cumDiffVolDeltaRatio;28.8281;0.1629
bearish_repeatAskBid_ratio <-> vol_volatility_score;28.8272;0.1629
VolCandleMeanxRatio <-> bearish_bid_score;28.6827;0.1621
price_volume_dynamic <-> diffPriceCloseVWAP;28.5501;0.1613
pocDeltaPocVolRatio <-> bear_imbalance_high_2;28.4118;0.1606
perct_VA11P <-> diffVolCandle_0_1Ratio;28.4105;0.1605
bearish_absorption_score <-> diffPriceClose_VA11PvaL;28.3240;0.1601
diffPriceClose_VA16PvaH <-> diffVolDelta_0_1Ratio;28.1712;0.1592
bullish_asc_ask_bid_delta_imbalance <-> bullish_imbalance_evolution;28.0886;0.1587
diffPriceClosePoc_0_4 <-> deltaTimestampOpeningSection1min;28.0064;0.1583
range_strength_5_23 <-> VolPocVolCandleRatio;27.9540;0.1580
cumDiffVolDeltaRatio <-> bearish_bid_score;27.9039;0.1577
ratio_delta_vol_VA11P <-> bearish_asc_dynamics;27.8190;0.1572
bearish_dsc_ask_bid_delta_imbalance <-> deltaTimestampOpeningSection1min;27.7250;0.1567
price_volume_dynamic <-> perctBB;27.3552;0.1546
diffVolCandle_0_1Ratio <-> bearish_dsc_ask_bid_delta_imbalance;27.2384;0.1539
bearish_market_context_score <-> bearish_absorption_score;27.0688;0.1530
bullish_absorption_score <-> bear_imbalance_low_1;26.9983;0.1526
price_volume_dynamic <-> diffPriceClose_VA16PvaH;26.9451;0.1523
vol_volatility_score <-> bearish_ask_score;26.8972;0.1520
diffPriceCloseVWAP <-> perct_VA21P;26.8296;0.1516
bearish_repeatAskBid_ratio <-> pocDeltaPocVolRatio;26.6388;0.1505
perct_VA6P <-> bull_imbalance_low_3;26.5215;0.1499
bullish_repeatAskBid_ratio <-> bullish_dsc_dynamics;26.4278;0.1493
imbalance_score_high <-> diffPriceClose_VA16PvaH;26.3502;0.1489
diffPriceClose_VA11PvaH <-> bull_imbalance_high_1;26.0226;0.1471
overlap_ratio_VA_6P_16P <-> diffVolDelta_0_1Ratio;25.9357;0.1466
overlap_ratio_VA_11P_21P <-> overlap_ratio_VA_6P_11P;25.8086;0.1458
bull_imbalance_high_1 <-> price_volume_dynamic;25.8082;0.1458
range_strength_5_23 <-> bandWidthBB;25.6334;0.1449
diffVolDelta_0_1Ratio <-> ratio_delta_vol_VA11P;25.5320;0.1443
diffVolCandle_0_1Ratio <-> bear_imbalance_high_2;25.5187;0.1442
overlap_ratio_VA_6P_11P <-> diffPriceCloseVWAP;25.4962;0.1441
bearish_dsc_ask_bid_delta_imbalance <-> bear_imbalance_high_3;25.1108;0.1419
bullish_imnbScore_score <-> perct_VA11P;24.9405;0.1409
bearish_repeatAskBid_ratio <-> bear_imbalance_low_2;24.9258;0.1409
price_volume_dynamic <-> bullish_imnbScore_score;24.7922;0.1401
bearish_ask_score <-> bearish_dsc_ask_bid_delta_imbalance;24.6168;0.1391
bearish_bid_score <-> bearish_dsc_ask_bid_imbalance;24.5844;0.1389
bullish_imnbScore_score <-> naked_poc_dist_above;24.5546;0.1388
bullish_combined_pressure <-> bear_imbalance_high_2;24.4918;0.1384
bullish_dsc_ask_bid_delta_imbalance <-> overlap_ratio_VA_6P_16P;24.4492;0.1382
perctBB <-> bearish_ask_abs_ratio_abv;24.4021;0.1379
bearish_absorption_score <-> overlap_ratio_VA_6P_16P;24.3961;0.1379
perct_VA6P <-> bullish_imnbScore_score;24.3058;0.1374
bullish_asc_ask_bid_delta_imbalance <-> bullish_ask_score;24.2655;0.1371
bullish_ask_score <-> bear_imbalance_high_1;24.1084;0.1362
diffPriceClose_VA21PPoc <-> diffPriceCloseVWAP;23.7917;0.1344
overlap_ratio_VA_6P_21P <-> diffPriceCloseVWAP;23.5997;0.1334
bear_imbalance_low_1 <-> range_strength_5_23;23.5159;0.1329
perct_VA6P <-> price_volume_dynamic;23.5129;0.1329
deltaTimestampOpeningSection5min <-> bearish_ask_score;23.4597;0.1326
diffPriceCloseVWAP <-> bandWidthBB;23.4009;0.1322
diffPriceClose_VA21PvaL <-> bearish_dsc_ask_bid_delta_imbalance;23.3644;0.1320
bullish_imnbScore_score <-> bull_imbalance_high_0;23.2922;0.1316
bearish_absorption_intensity_repeat_count <-> diffPriceCloseVWAP;23.0050;0.1300
bull_imbalance_low_3 <-> perct_VA11P;22.9367;0.1296
deltaTimestampOpeningSection1min <-> bear_imbalance_high_2;22.8838;0.1293
diffPriceClose_VA11PvaH <-> diffLowPrice_0_5;22.7426;0.1285
price_volume_dynamic <-> bearish_bid_score;22.6439;0.1280
bearish_absorption_intensity_repeat_count <-> perct_VA6P;22.5151;0.1272
overlap_ratio_VA_11P_21P <-> diffPriceCloseVWAP;22.4882;0.1271
vol_volatility_score <-> VolCandleMeanxRatio;22.4299;0.1267
bull_imbalance_high_1 <-> bullish_absorption_score;22.3716;0.1264
ratio_delta_vol_VA11P <-> finished_auction_high;22.3474;0.1263
bullish_combined_pressure <-> perctBB;22.2812;0.1259
bull_imbalance_high_0 <-> naked_poc_dist_above;22.2787;0.1259
diffPriceClose_VA21PvaL <-> pocDeltaPocVolRatio;22.1803;0.1253
bearish_repeatAskBid_ratio <-> range_strength_5_23;22.1041;0.1249
diffHighPrice_0_4 <-> price_volume_dynamic;22.0763;0.1248
diffPriceCloseVWAP <-> bull_imbalance_high_0;21.9605;0.1241
bearish_imbalance_evolution <-> bearish_absorption_intensity_repeat_count;21.8758;0.1236
bearish_repeatAskBid_ratio <-> bear_imbalance_low_1;21.8268;0.1233
bearish_imnbScore_score <-> range_strength_5_23;21.7949;0.1232
bullish_ask_score <-> diffPriceCloseVWAP;21.7364;0.1228
bearish_bid_score <-> diffPriceClose_VA21PvaL;21.7187;0.1227
bandWidthBB <-> perct_VA11P;21.7019;0.1226
bearish_market_context_score <-> bearish_asc_ask_bid_delta_imbalance;21.3313;0.1205
ratio_delta_vol_VA11P <-> bear_imbalance_high_3;21.3199;0.1205
perct_VA21P <-> diffPriceClose_VA21PvaL;21.3155;0.1205
pocDeltaPocVolRatio <-> vol_volatility_score;21.2591;0.1201
overlap_ratio_VA_11P_21P <-> bull_imbalance_high_0;21.1197;0.1193
perctBB <-> bullish_asc_dsc_ratio;21.0976;0.1192
overlap_ratio_VA_11P_21P <-> imbalance_score_low;21.0942;0.1192
bull_imbalance_low_3 <-> bearish_imnbScore_score;21.0242;0.1188
bearish_absorption_intensity_repeat_count <-> bull_imbalance_low_2;20.9141;0.1182
bullish_dsc_ask_bid_delta_imbalance <-> naked_poc_dist_above;20.7701;0.1174
bull_imbalance_low_3 <-> perctBB;20.7531;0.1173
bear_imbalance_low_1 <-> bandWidthBB;20.7170;0.1171
imbalance_score_low <-> bullish_ask_ratio;20.6302;0.1166
imbalance_score_high <-> bullish_combined_pressure;20.5942;0.1164
deltaTimestampOpeningSection5min <-> vol_volatility_score;20.5158;0.1159
diffPriceClose_VA16PvaH <-> imbalance_score_low;20.3652;0.1151
price_volume_dynamic <-> ratio_delta_vol_VA16P;20.3332;0.1149
perct_VA11P <-> vol_volatility_score;20.3068;0.1148
ratio_delta_vol_VA6P <-> finished_auction_high;20.2237;0.1143
bear_imbalance_high_3 <-> perctBB;20.2005;0.1142
bullish_imnbScore_score <-> diffVolCandle_0_1Ratio;20.1725;0.1140
perct_VA6P <-> bear_imbalance_high_2;20.1412;0.1138
bullish_combined_pressure <-> market_regimeADX;20.0846;0.1135
bullish_ask_ratio <-> bearish_bid_abs_ratio_abv;20.0047;0.1130
price_volume_dynamic <-> bearish_imbalance_evolution;19.9134;0.1125
perct_VA11P <-> bullish_dsc_ask_bid_delta_imbalance;19.4142;0.1097
overlap_ratio_VA_11P_21P <-> pocDeltaPocVolRatio;19.2915;0.1090
bearish_combined_pressure <-> diffPriceCloseVWAP;19.2791;0.1089
bearish_absorption_score <-> diffPriceClosePoc_0_4;19.2355;0.1087
bandWidthBB <-> bullish_combined_pressure;19.2155;0.1086
bearish_bid_score <-> diffHighPrice_0_4;19.1396;0.1082
bullish_ask_ratio <-> bullish_imnbScore_score;19.1213;0.1081
imbalance_score_high <-> bull_imbalance_high_0;19.0550;0.1077
bandWidthBB <-> bearish_bid_score;18.9968;0.1073
bearish_absorption_intensity_repeat_count <-> bear_imbalance_high_3;18.8895;0.1067
bearish_market_context_score <-> diffPriceClose_VA21PvaL;18.8528;0.1065
