feature;importance;importance_percentage;cumulative_importance_percentage
diffPriceClose_VA11PvaH;0.0;0.0;100.00001
bearish_extrem_pressure_ratio_extrem;0.0;0.0;100.00001
diffHighPrice_0_4;0.0;0.0;100.00001
VolAbvState;0.0;0.0;100.00001
VolBlwState;0.0;0.0;100.00001
candleSizeTicks;0.0;0.0;100.00001
diffPriceClosePoc_0_0;0.0;0.0;100.00001
diffPriceClosePoc_0_1;0.0;0.0;100.00001
diffPriceClosePoc_0_2;0.0;0.0;100.00001
diffPriceClosePoc_0_3;0.0;0.0;100.00001
diffPriceClosePoc_0_5;0.0;0.0;100.00001
diffHighPrice_0_1;0.0;0.0;100.00001
diffHighPrice_0_2;0.0;0.0;100.00001
diffHighPrice_0_3;0.0;0.0;100.00001
diffLowPrice_0_1;0.0;0.0;100.00001
diffPriceClose_VA11PPoc;0.0;0.0;100.00001
diffLowPrice_0_2;0.0;0.0;100.00001
diffLowPrice_0_5;0.0;0.0;100.00001
diffPriceCloseVWAPbyIndex;0.0;0.0;100.00001
bandWidthBB;0.0;0.0;100.00001
perctBB;0.0;0.0;100.00001
perct_VA6P;0.0;0.0;100.00001
diffPriceClose_VA6PPoc;0.0;0.0;100.00001
diffPriceClose_VA6PvaH;0.0;0.0;100.00001
diffPriceClose_VA6PvaL;0.0;0.0;100.00001
perct_VA11P;0.0;0.0;100.00001
ratio_delta_vol_VA11P;0.0;0.0;100.00001
diffVolDelta_0_1Ratio;0.0;0.0;100.00001
VolPocVolCandleRatio;0.0;0.0;100.00001
VolAbv_vol_ratio;0.0;0.0;100.00001
bearish_askBigHigh_abs_ratio_abv_special;0.0;0.0;100.00001
bullish_abs_diff_blw;0.0;0.0;100.00001
bearish_askBigStand_abs_ratio_abv;0.0;0.0;100.00001
bearish_askBigStand_abs_ratio_abv_special;0.0;0.0;100.00001
bearish_bidBigStand_abs_ratio_abv;0.0;0.0;100.00001
bearish_bidBigStand_abs_ratio_abv_special;0.0;0.0;100.00001
bearish_bigStand_abs_diff_abv;0.0;0.0;100.00001
bullish_askBigStand_abs_ratio_blw;0.0;0.0;100.00001
bullish_askBigStand_abs_ratio_blw_special;0.0;0.0;100.00001
bullish_bidBigStand_abs_ratio_blw;0.0;0.0;100.00001
bullish_bidBigStand_abs_ratio_blw_special;0.0;0.0;100.00001
bullish_bigStand_abs_diff_blw;0.0;0.0;100.00001
deltaTimestampOpeningSection5min;0.0;0.0;100.00001
VolBlw_vol_ratio;0.0;0.0;100.00001
bearish_bidBigHigh_abs_ratio_abv_special;0.0;0.0;100.00001
bearish_bigHigh_abs_diff_abv;0.0;0.0;100.00001
bullish_askBigHigh_abs_ratio_blw;0.0;0.0;100.00001
bullish_askBigHigh_abs_ratio_blw_special;0.0;0.0;100.00001
bullish_bidBigHigh_abs_ratio_blw;0.0;0.0;100.00001
bullish_bidBigHigh_abs_ratio_blw_special;0.0;0.0;100.00001
bullish_bigHigh_abs_diff_blw;0.0;0.0;100.00001
bearish_extrem_revIntensity_ratio_extrem;0.0;0.0;100.00001
bullish_extrem_revIntensity_ratio_extrem;0.0;0.0;100.00001
bearish_extrem_zone_volume_ratio_extrem;0.0;0.0;100.00001
bullish_extrem_zone_volume_ratio_extrem;0.0;0.0;100.00001
bullish_bid_abs_ratio_blw;0.0;0.0;100.00001
bullish_ask_abs_ratio_blw;0.0;0.0;100.00001
bearish_abs_diff_abv;0.0;0.0;100.00001
bearish_bid_abs_ratio_abv;0.0;0.0;100.00001
asymetrie_volume;0.0;0.0;100.00001
VolCandleMeanxRatio;0.0;0.0;100.00001
bearish_ask_ratio;0.0;0.0;100.00001
bearish_bid_ratio;0.0;0.0;100.00001
bullish_ask_ratio;0.0;0.0;100.00001
bearish_ask_score;0.0;0.0;100.00001
bearish_bid_score;0.0;0.0;100.00001
bearish_imnbScore_score;0.0;0.0;100.00001
bullish_ask_score;0.0;0.0;100.00001
bullish_bid_score;0.0;0.0;100.00001
bullish_imnbScore_score;0.0;0.0;100.00001
bull_imbalance_low_1;0.0;0.0;100.00001
bull_imbalance_low_2;0.0;0.0;100.00001
