feature;importance;importance_percentage;cumulative_importance_percentage
diffPriceClose_VA21PvaH;-7.171944e-07;0.022870589;99.83008
atr;6.475602e-07;0.020650027;99.85073
poc_diff_6P_11P;-6.005403e-07;0.019150611;99.86988
poc_diff_ratio_6P_21P;-5.86043e-07;0.018688306;99.88857
bear_imbalance_low_0;5.7253607e-07;0.018257584;99.90683
bear_imbalance_low_2;-4.9844834e-07;0.015895003;99.92272
bullish_asc_dynamics;4.635344e-07;0.014781634;99.9375
VolBlw_vol_ratio;-3.7608427e-07;0.01199294;99.94949
imbalance_score_low;3.570808e-07;0.011386938;99.960884
bearish_market_momentum;-3.2505574e-07;0.010365692;99.97125
overlap_ratio_VA_6P_11P;2.800891e-07;0.008931752;99.98019
range_strength_10_32;-2.770558e-07;0.008835023;99.98902
bearish_imbalance_evolution;-1.12771204e-07;0.0035961573;99.992615
bullish_reversal_force;-9.733854e-08;0.0031040257;99.99572
extrem_ask_bid_imbalance_bearish_extrem;7.896318e-08;0.0025180546;99.99824
poc_diff_6P_16P;3.8296474e-08;0.001221235;99.99946
overlap_ratio_VA_11P_21P;-1.773417e-08;0.0005655244;100.00002
bullish_extrem_zone_volume_ratio_extrem;0.0;0.0;100.00002
bearish_extrem_vs_rest_activity_extrem;0.0;0.0;100.00002
overlap_ratio_VA_6P_21P;0.0;0.0;100.00002
bearish_asc_ask_bid_imbalance;0.0;0.0;100.00002
diffPriceClosePoc_0_0;0.0;0.0;100.00002
bullish_extreme_volume_score;0.0;0.0;100.00002
bullish_dsc_dynamics;0.0;0.0;100.00002
bullish_extrem_vs_rest_activity_extrem;0.0;0.0;100.00002
deltaCustomSectionMin;0.0;0.0;100.00002
count_abv_tot_ratio;0.0;0.0;100.00002
bullish_bid_ratio;0.0;0.0;100.00002
bearish_asc_dsc_ratio;0.0;0.0;100.00002
bullish_repeat_ticks_ratio_extrem;0.0;0.0;100.00002
bullish_volume_quality;0.0;0.0;100.00002
is_in_range_10_32;0.0;0.0;100.00002
bullish_extrem_abs_ratio_extrem;0.0;0.0;100.00002
poc_diff_11P_21P;0.0;0.0;100.00002
poc_diff_ratio_11P_21P;0.0;0.0;100.00002
ratioDeltaBlw;0.0;0.0;100.00002
bullish_extrem_revIntensity_ratio_extrem;0.0;0.0;100.00002
extrem_asc_ratio_bullish_extrem;0.0;0.0;100.00002
extrem_dsc_ratio_bullish_extrem;0.0;0.0;100.00002
extrem_zone_significance_bullish_extrem;0.0;0.0;100.00002
bullish_continuation_vs_reversal_extrem;0.0;0.0;100.00002
extrem_asc_dsc_comparison_bullish_extrem;0.0;0.0;100.00002
ratioDeltaAbv;0.0;0.0;100.00002
bearish_extrem_zone_volume_ratio_extrem;0.0;0.0;100.00002
bullish_ask_abs_ratio_blw;0.0;0.0;100.00002
finished_auction_high;0.0;0.0;100.00002
bullish_extrem_pressure_ratio_extrem;0.0;0.0;100.00002
VolPocVolCandleRatio;0.0;0.0;100.00002
bullish_dsc_ask_bid_imbalance;0.0;0.0;100.00002
bullish_asc_ask_bid_imbalance;0.0;0.0;100.00002
extrem_ask_bid_imbalance_bullish;0.0;0.0;100.00002
