Interaction;Value;Percentage_Contribution
perct_VA16P <-> bearish_absorption_ratio;54.9457;0.0586
perct_VA16P <-> finished_auction_high;54.8785;0.0585
bearish_extrem_pressure_ratio_extrem <-> perct_VA11P;54.7598;0.0584
bullish_absorption_score <-> bearish_extrem_abs_ratio_extrem;54.4670;0.0581
diffPriceClosePoc_0_3 <-> diffPriceClosePoc_0_4;54.3080;0.0579
bullish_imnbScore_score <-> bullish_asc_ask_bid_imbalance;54.1106;0.0577
bullish_absorption_score <-> diffHighPrice_0_3;53.8936;0.0575
bearish_extrem_dsc_ratio_extrem <-> bearish_extrem_revIntensity_ratio_extrem;53.7566;0.0573
ratio_delta_vol_VA6P <-> bullish_bid_ratio;53.4477;0.0570
bearish_extrem_revIntensity_ratio_extrem <-> bull_imbalance_high_0;53.3509;0.0569
bearish_absorption_intensity_repeat_count <-> bullish_absorption_ratio;53.3377;0.0569
bearish_asc_dynamics <-> perctBB;53.2965;0.0569
market_regimeADX <-> bear_imbalance_high_2;53.2629;0.0568
bearish_extrem_abs_ratio_extrem <-> deltaTimestampOpeningSection1min;53.1652;0.0567
bearish_dsc_ask_bid_delta_imbalance <-> bearish_extrem_abs_ratio_extrem;53.0877;0.0566
bull_imbalance_low_1 <-> diffVolDelta_0_1Ratio;52.9618;0.0565
overlap_ratio_VA_11P_21P <-> bearish_extrem_abs_ratio_extrem;52.9449;0.0565
overlap_ratio_VA_6P_11P <-> bull_imbalance_high_0;52.9437;0.0565
diffPriceCloseVWAP <-> perct_VA16P;52.9252;0.0565
bear_imbalance_high_2 <-> bandWidthBB;52.8378;0.0564
bear_imbalance_high_2 <-> diffPriceCloseVWAP;52.8313;0.0564
perct_VA11P <-> bearish_asc_ask_bid_delta_imbalance;52.7321;0.0563
diffPriceClosePoc_0_5 <-> perct_VA11P;52.7052;0.0562
perct_VA11P <-> bearish_absorption_ratio;52.5999;0.0561
bearish_asc_ask_bid_delta_imbalance <-> bearish_absorption_intensity_repeat_count;52.5904;0.0561
VolCandleMeanxRatio <-> bullish_absorption_score;52.3438;0.0558
diffPriceClosePoc_0_2 <-> absorption_intensity_repeat_bearish_vol;52.2306;0.0557
bearish_asc_ask_bid_imbalance <-> bearish_repeat_ticks_ratio_extrem;52.2024;0.0557
bullish_bid_ratio <-> bearish_combined_pressure;52.0446;0.0555
perct_VA16P <-> poc_diff_ratio_6P_16P;51.9151;0.0554
bearish_dsc_ask_bid_delta_imbalance <-> extrem_asc_dsc_comparison_bearish_extrem;51.9103;0.0554
bull_imbalance_high_2 <-> perct_VA16P;51.8672;0.0553
bear_imbalance_high_2 <-> bull_imbalance_high_1;51.8001;0.0553
perct_VA11P <-> bull_imbalance_low_1;51.7169;0.0552
perct_VA16P <-> diffPriceClose_VA16PvaH;51.6429;0.0551
absorption_intensity_repeat_bullish_vol <-> perct_VA11P;51.6388;0.0551
bearish_extrem_abs_ratio_extrem <-> diffHighPrice_0_4;51.4619;0.0549
bearish_extrem_pressure_ratio_extrem <-> extrem_asc_dsc_comparison_bearish_extrem;51.2568;0.0547
bullish_dsc_dynamics <-> bear_imbalance_high_3;50.8647;0.0543
perct_VA11P <-> range_strength_5_23;50.6868;0.0541
perct_VA16P <-> bull_imbalance_low_1;50.6216;0.0540
bearish_repeat_ticks_ratio_extrem <-> absorption_intensity_repeat_bearish_vol;50.6035;0.0540
perct_VA11P <-> bearish_extrem_abs_ratio_extrem;50.5073;0.0539
bear_imbalance_high_3 <-> bearish_extrem_abs_ratio_extrem;50.2803;0.0536
bullish_dsc_dynamics <-> bear_imbalance_low_0;50.1328;0.0535
bearish_ask_ratio <-> diffPriceClose_VA11PvaH;50.1162;0.0535
diffPriceClosePoc_0_3 <-> ratio_delta_vol_VA16P;50.1089;0.0535
bearish_asc_ask_bid_imbalance <-> bearish_absorption_intensity_repeat_count;50.0033;0.0533
bearish_dsc_ask_bid_delta_imbalance <-> deltaTimestampOpeningSection1min;49.9525;0.0533
bearish_extrem_pressure_ratio_extrem <-> bearish_repeat_ticks_ratio_extrem;49.7833;0.0531
bearish_bid_score <-> bearish_dsc_ask_bid_delta_imbalance;49.7711;0.0531
bullish_dsc_dynamics <-> perct_VA16P;49.6616;0.0530
bearish_extrem_abs_ratio_extrem <-> bullish_absorption_intensity_repeat_count;49.6380;0.0530
price_volume_dynamic <-> diffPriceClose_VA21PPoc;49.6089;0.0529
bearish_extrem_abs_ratio_extrem <-> diffPriceClosePoc_0_5;49.1254;0.0524
bull_imbalance_high_0 <-> perct_VA16P;49.0631;0.0523
bearish_asc_ask_bid_imbalance <-> bear_imbalance_high_1;49.0471;0.0523
bearish_dsc_ask_bid_delta_imbalance <-> bull_imbalance_low_3;48.8847;0.0521
bear_imbalance_low_2 <-> bandWidthBB;48.8130;0.0521
perct_VA11P <-> bearish_absorption_intensity_repeat_count;48.7101;0.0520
bearish_extrem_revIntensity_ratio_extrem <-> diffPriceCloseVWAP;48.6925;0.0519
bearish_repeatAskBid_ratio <-> perct_VA16P;48.6551;0.0519
perct_VA16P <-> bear_imbalance_low_2;48.5952;0.0518
bearish_abs_diff_abv <-> bullish_asc_ask_bid_imbalance;48.3566;0.0516
bull_imbalance_low_1 <-> bullish_repeatAskBid_ratio;48.2998;0.0515
bullish_combined_pressure <-> poc_diff_ratio_6P_16P;48.2337;0.0515
diffVolCandle_0_1Ratio <-> bearish_abs_diff_abv;48.1806;0.0514
bearish_ask_score <-> perct_VA11P;48.1800;0.0514
bullish_ask_score <-> bearish_ask_abs_ratio_abv;48.1217;0.0513
bearish_absorption_intensity_repeat_count <-> bullish_absorption_score;47.8727;0.0511
bearish_extrem_revIntensity_ratio_extrem <-> bearish_imnbScore_score;47.7923;0.0510
bearish_dsc_ask_bid_delta_imbalance <-> bearish_absorption_score;47.7647;0.0510
diffVolCandle_0_1Ratio <-> bullish_market_context_score;47.7497;0.0509
bullish_absorption_intensity_repeat_count <-> diffVolCandle_0_1Ratio;47.2752;0.0504
diffHighPrice_0_4 <-> bullish_combined_pressure;47.2619;0.0504
bearish_extrem_revIntensity_ratio_extrem <-> bearish_asc_ask_bid_delta_imbalance;47.2563;0.0504
bullish_imnbScore_score <-> perct_VA16P;47.1731;0.0503
overlap_ratio_VA_6P_11P <-> perct_VA21P;47.1611;0.0503
perct_VA6P <-> overlap_ratio_VA_6P_11P;47.1216;0.0503
bull_imbalance_high_0 <-> deltaTimestampOpeningSection5min;46.9747;0.0501
bearish_continuation_vs_reversal_extrem <-> bearish_absorption_ratio;46.8990;0.0500
bearish_dsc_ask_bid_imbalance <-> bearish_dsc_ask_bid_delta_imbalance;46.8908;0.0500
bear_imbalance_low_2 <-> bearish_dsc_ask_bid_delta_imbalance;46.8832;0.0500
bearish_imnbScore_score <-> bearish_ask_score;46.8524;0.0500
bearish_repeat_ticks_ratio_extrem <-> diffPriceClosePoc_0_3;46.8493;0.0500
bull_imbalance_low_2 <-> diffHighPrice_0_4;46.6081;0.0497
perct_VA6P <-> bearish_extrem_abs_ratio_extrem;46.6009;0.0497
perct_VA16P <-> bullish_ask_abs_ratio_blw;46.5014;0.0496
bearish_asc_ask_bid_delta_imbalance <-> ratio_delta_vol_VA21P;46.4772;0.0496
diffPriceClosePoc_0_4 <-> bearish_market_context_score;46.2254;0.0493
bearish_ask_ratio <-> overlap_ratio_VA_11P_21P;46.1959;0.0493
perct_VA6P <-> perct_VA21P;46.0732;0.0492
naked_poc_dist_above <-> diffLowPrice_0_5;46.0452;0.0491
ratio_delta_vol_VA21P <-> bearish_dsc_ask_bid_delta_imbalance;46.0287;0.0491
deltaTimestampOpeningSection5min <-> poc_diff_ratio_11P_21P;45.9661;0.0490
bearish_imnbScore_score <-> bullish_absorption_score;45.8052;0.0489
diffPriceClose_VA11PvaL <-> bull_imbalance_high_2;45.7831;0.0488
ratio_delta_vol_VA21P <-> bearish_repeatAskBid_ratio;45.6901;0.0487
perct_VA16P <-> bullish_asc_dsc_ratio;45.6254;0.0487
perct_VA16P <-> bearish_ask_ratio;45.5405;0.0486
bearish_ask_score <-> perct_VA16P;45.4969;0.0485
bull_imbalance_high_0 <-> bearish_absorption_score;45.3954;0.0484
pocDeltaPocVolRatio <-> diffVolCandle_0_1Ratio;45.2902;0.0483
naked_poc_dist_above <-> bull_imbalance_high_0;45.2752;0.0483
diffPriceClose_VA11PvaL <-> perct_VA16P;45.0060;0.0480
perct_VA16P <-> diffVolDelta_0_1Ratio;44.9383;0.0479
perct_VA6P <-> diffPriceClosePoc_0_4;44.9295;0.0479
perct_VA16P <-> bearish_extrem_pressure_ratio_extrem;44.8933;0.0479
bullish_repeatAskBid_ratio <-> bearish_dsc_ask_bid_delta_imbalance;44.8143;0.0478
deltaTimestampOpeningSection1min <-> bear_imbalance_high_2;44.5381;0.0475
bearish_absorption_intensity_repeat_count <-> bullish_bid_ratio;44.4722;0.0474
diffPriceClose_VA11PvaH <-> bull_imbalance_low_1;44.3023;0.0473
bear_imbalance_low_0 <-> bullish_repeatAskBid_ratio;44.2667;0.0472
diffVolCandle_0_1Ratio <-> vol_volatility_score;44.2542;0.0472
bearish_extrem_dsc_ratio_extrem <-> perct_VA11P;44.1491;0.0471
bearish_absorption_ratio <-> bearish_ask_ratio;44.1213;0.0471
bearish_combined_pressure <-> naked_poc_dist_above;44.0959;0.0470
perct_VA11P <-> diffHighPrice_0_4;43.8816;0.0468
diffHighPrice_0_4 <-> bear_imbalance_low_1;43.8468;0.0468
cumDiffVolDeltaRatio <-> perct_VA16P;43.7791;0.0467
bearish_ask_score <-> diffPriceCloseVWAP;43.7712;0.0467
bearish_repeatAskBid_ratio <-> bearish_dsc_ask_bid_delta_imbalance;43.7663;0.0467
bullish_imnbScore_score <-> bearish_absorption_intensity_repeat_count;43.7414;0.0467
bullish_imbalance_evolution <-> extrem_zone_significance_bearish_extrem;43.7226;0.0466
deltaTimestampOpeningSection1min <-> bearish_extrem_dsc_ratio_extrem;43.7019;0.0466
perct_VA16P <-> poc_diff_ratio_11P_21P;43.5438;0.0465
bullish_ask_score <-> bull_imbalance_low_2;43.5147;0.0464
price_volume_dynamic <-> bear_imbalance_low_0;43.4559;0.0464
diffVolCandle_0_1Ratio <-> bull_imbalance_low_3;43.4404;0.0463
bearish_repeat_ticks_ratio_extrem <-> bearish_combined_pressure;43.4113;0.0463
diffHighPrice_0_4 <-> diffPriceClose_VA11PvaL;43.3782;0.0463
bearish_dsc_ask_bid_delta_imbalance <-> deltaTimestampOpeningSection5min;43.3347;0.0462
bearish_combined_pressure <-> bullish_dsc_dynamics;43.3110;0.0462
perct_VA11P <-> deltaTimestampOpeningSection1min;43.2249;0.0461
bullish_absorption_score <-> bullish_dsc_ask_bid_delta_imbalance;43.1871;0.0461
perct_VA16P <-> bearish_extrem_dsc_ratio_extrem;43.1859;0.0461
diffPriceCloseVWAP <-> overlap_ratio_VA_11P_21P;43.1598;0.0460
bullish_absorption_score <-> bearish_abs_diff_abv;43.0750;0.0460
bearish_repeat_ticks_ratio_extrem <-> ratioDeltaBlw;43.0646;0.0459
bear_imbalance_high_3 <-> bearish_bid_score;42.9512;0.0458
perct_VA21P <-> bearish_absorption_intensity_repeat_count;42.9313;0.0458
perct_VA16P <-> diffPriceClose_VA16PPoc;42.8791;0.0457
bearish_abs_diff_abv <-> bull_imbalance_low_2;42.7492;0.0456
deltaTimestampOpeningSection5min <-> ratio_delta_vol_VA11P;42.6556;0.0455
perctBB <-> diffPriceClose_VA16PvaL;42.5724;0.0454
diffVolCandle_0_1Ratio <-> bearish_bid_score;42.5352;0.0454
diffPriceClosePoc_0_5 <-> cumDiffVolDeltaRatio;42.5157;0.0454
bearish_extrem_vs_rest_activity_extrem <-> bearish_absorption_intensity_repeat_count;42.5142;0.0454
diffVolCandle_0_1Ratio <-> range_strength_10_32;42.3882;0.0452
diffPriceCloseVWAP <-> bearish_dsc_ask_bid_delta_imbalance;42.3870;0.0452
bear_imbalance_low_0 <-> perct_VA11P;42.3809;0.0452
bullish_imnbScore_score <-> ratio_delta_vol_VA11P;42.1829;0.0450
bearish_repeatAskBid_ratio <-> bearish_absorption_intensity_repeat_count;42.0731;0.0449
bearish_asc_ask_bid_delta_imbalance <-> extrem_asc_dsc_comparison_bearish_extrem;42.0274;0.0448
bearish_abs_diff_abv <-> bearish_ask_abs_ratio_abv;42.0048;0.0448
diffLowPrice_0_2 <-> bullish_market_context_score;41.8519;0.0446
bullish_dsc_dynamics <-> bullish_absorption_ratio;41.7202;0.0445
bearish_repeat_ticks_ratio_extrem <-> perct_VA11P;41.6421;0.0444
bearish_dsc_ask_bid_delta_imbalance <-> bear_imbalance_high_2;41.6284;0.0444
bearish_dsc_ask_bid_delta_imbalance <-> bull_imbalance_high_1;41.5842;0.0444
pocDeltaPocVolRatio <-> bearish_dsc_ask_bid_delta_imbalance;41.5337;0.0443
deltaTimestampOpeningSection1min <-> perct_VA16P;41.4579;0.0442
ratio_delta_vol_VA21P <-> bullish_repeatAskBid_ratio;41.4522;0.0442
diffPriceClose_VA6PvaL <-> imbalance_score_high;41.3976;0.0442
bearish_dsc_ask_bid_delta_imbalance <-> imbalance_score_low;41.3863;0.0442
VolCandleMeanxRatio <-> ratio_delta_vol_VA21P;41.3181;0.0441
bullish_ask_score <-> bearish_extrem_zone_volume_ratio_extrem;41.2803;0.0440
bull_imbalance_high_2 <-> bearish_absorption_intensity_repeat_count;41.2065;0.0440
bullish_imnbScore_score <-> cumDiffVolDeltaRatio;41.1859;0.0439
perct_VA16P <-> bullish_reversal_force;41.1383;0.0439
perct_VA16P <-> bear_imbalance_high_3;41.0163;0.0438
bearish_dsc_ask_bid_delta_imbalance <-> bearish_ask_ratio;40.9853;0.0437
bull_imbalance_low_1 <-> diffPriceClose_VA21PvaL;40.9389;0.0437
market_regimeADX <-> perct_VA6P;40.7975;0.0435
cumDiffVolDeltaRatio <-> bear_imbalance_low_1;40.6313;0.0433
bull_imbalance_low_3 <-> bear_imbalance_low_0;40.4135;0.0431
bearish_extrem_abs_ratio_extrem <-> diffPriceCloseVWAP;40.2840;0.0430
bull_imbalance_high_0 <-> diffLowPrice_0_3;40.2633;0.0430
bearish_ask_bid_ratio <-> bearish_asc_ask_bid_delta_imbalance;40.2028;0.0429
bearish_extrem_revIntensity_ratio_extrem <-> bearish_dsc_dynamics;40.1839;0.0429
bearish_asc_ask_bid_imbalance <-> bearish_extrem_abs_ratio_extrem;40.0945;0.0428
diffPriceClosePoc_0_3 <-> absorption_intensity_repeat_bearish_vol;40.0582;0.0427
bearish_ask_bid_ratio <-> bearish_absorption_intensity_repeat_count;39.9438;0.0426
bull_imbalance_low_1 <-> diffPriceClosePoc_0_4;39.8101;0.0425
extrem_asc_dsc_comparison_bearish_extrem <-> bearish_market_context_score;39.7912;0.0424
bearish_reversal_force <-> bear_imbalance_high_1;39.7128;0.0424
bearish_extrem_revIntensity_ratio_extrem <-> bullish_combined_pressure;39.6987;0.0424
bearish_dsc_ask_bid_delta_imbalance <-> bearish_imnbScore_score;39.6332;0.0423
deltaTimestampOpeningSection5min <-> diffPriceCloseVWAP;39.6067;0.0423
bearish_continuation_vs_reversal_extrem <-> bearish_repeatAskBid_ratio;39.5539;0.0422
perct_VA11P <-> price_volume_dynamic;39.4704;0.0421
bearish_ask_abs_ratio_abv <-> bullish_bid_abs_ratio_blw;39.3433;0.0420
count_abv_tot_ratio <-> bearish_reversal_force;39.1774;0.0418
bull_imbalance_low_2 <-> diffVolCandle_0_1Ratio;39.1722;0.0418
diffHighPrice_0_4 <-> bear_imbalance_high_3;39.1458;0.0418
diffPriceCloseVWAP <-> imbalance_score_low;39.0985;0.0417
poc_diff_11P_21P <-> bearish_extrem_abs_ratio_extrem;39.0754;0.0417
absorption_intensity_repeat_bullish_vol <-> bullish_imbalance_evolution;39.0081;0.0416
bullish_absorption_score <-> bearish_market_context_score;38.8832;0.0415
perct_VA11P <-> pocDeltaPocVolRatio;38.8675;0.0415
bear_imbalance_high_1 <-> extrem_asc_dsc_comparison_bearish_extrem;38.8507;0.0414
bearish_extrem_abs_ratio_extrem <-> bullish_dsc_dynamics;38.7719;0.0414
ratio_delta_vol_VA21P <-> bear_imbalance_low_1;38.6729;0.0413
deltaTimestampOpeningSection5min <-> bullish_bid_score;38.4611;0.0410
bearish_dsc_ask_bid_delta_imbalance <-> bearish_absorption_intensity_repeat_count;38.4283;0.0410
bearish_ask_ratio <-> bearish_abs_diff_abv;38.3721;0.0409
overlap_ratio_VA_6P_21P <-> perct_VA11P;38.3718;0.0409
bearish_repeatAskBid_ratio <-> bearish_extrem_pressure_ratio_extrem;38.3701;0.0409
perctBB <-> diffPriceClosePoc_0_2;38.2618;0.0408
naked_poc_dist_above <-> bullish_asc_ask_bid_delta_imbalance;38.2233;0.0408
perct_VA16P <-> price_volume_dynamic;38.2116;0.0408
bullish_absorption_score <-> bearish_asc_ask_bid_delta_imbalance;38.1733;0.0407
bullish_imnbScore_score <-> poc_diff_ratio_6P_16P;38.1590;0.0407
perct_VA11P <-> ratio_delta_vol_VA21P;38.1321;0.0407
perct_VA21P <-> cumDiffVolDeltaRatio;38.1003;0.0406
bearish_extrem_abs_ratio_extrem <-> diffPriceClose_VA16PvaH;38.0955;0.0406
perct_VA11P <-> bearish_ask_abs_ratio_abv;37.9330;0.0405
perct_VA11P <-> bullish_imbalance_evolution;37.9139;0.0404
bearish_extrem_revIntensity_ratio_extrem <-> extrem_ask_bid_imbalance_bearish_extrem;37.8473;0.0404
bearish_absorption_score <-> deltaTimestampOpeningSection5min;37.8357;0.0404
ratioDeltaAbv <-> diffPriceClose_VA11PvaH;37.7938;0.0403
extrem_asc_ratio_bearish_extrem <-> perct_VA6P;37.6951;0.0402
bearish_repeatAskBid_ratio <-> bearish_ask_score;37.6834;0.0402
bullish_ask_ratio <-> ratio_delta_vol_VA6P;37.6550;0.0402
bearish_dsc_ask_bid_delta_imbalance <-> bullish_asc_dsc_ratio;37.6393;0.0402
diffLowPrice_0_5 <-> perct_VA16P;37.6358;0.0401
bearish_reversal_force <-> diffHighPrice_0_1;37.6165;0.0401
diffVolDelta_0_1Ratio <-> bearish_absorption_intensity_repeat_count;37.6032;0.0401
poc_diff_ratio_6P_16P <-> bearish_reversal_force;37.5297;0.0400
ratioDeltaBlw <-> poc_diff_ratio_6P_16P;37.5152;0.0400
bull_imbalance_high_0 <-> perct_VA11P;37.4999;0.0400
bear_imbalance_high_2 <-> bearish_absorption_score;37.4585;0.0400
bullish_abs_diff_blw <-> bullish_absorption_score;37.4451;0.0399
poc_diff_ratio_6P_11P <-> bearish_dsc_ask_bid_delta_imbalance;37.4061;0.0399
diffVolCandle_0_1Ratio <-> ratioDeltaAbv;37.3817;0.0399
bearish_asc_ask_bid_delta_imbalance <-> bear_imbalance_low_2;37.3470;0.0398
bearish_dsc_ask_bid_imbalance <-> count_AbvBlw_asym_ratio;37.3009;0.0398
deltaTimestampOpeningSection1min <-> diffPriceCloseVWAP;37.2930;0.0398
bullish_imnbScore_score <-> bull_imbalance_high_0;37.2376;0.0397
perct_VA21P <-> bearish_asc_ask_bid_imbalance;37.1949;0.0397
bearish_imnbScore_score <-> bearish_repeatAskBid_ratio;37.1758;0.0397
absorption_intensity_repeat_bullish_vol <-> bearish_repeatAskBid_ratio;37.1584;0.0396
bullish_market_context_score <-> perct_VA6P;37.1095;0.0396
bearish_combined_pressure <-> overlap_ratio_VA_6P_11P;36.9639;0.0394
poc_diff_ratio_6P_16P <-> bearish_extrem_dsc_ratio_extrem;36.9182;0.0394
deltaTimestampOpeningSection5min <-> bullish_repeatAskBid_ratio;36.9035;0.0394
bearish_bid_ratio <-> market_regimeADX;36.8729;0.0393
naked_poc_dist_above <-> bearish_dsc_ask_bid_delta_imbalance;36.8612;0.0393
naked_poc_dist_above <-> poc_diff_ratio_6P_21P;36.8327;0.0393
bear_imbalance_high_1 <-> perct_VA11P;36.8253;0.0393
bearish_repeat_ticks_ratio_extrem <-> deltaTimestampOpeningSection5min;36.8237;0.0393
bull_imbalance_high_1 <-> naked_poc_dist_above;36.7589;0.0392
diffPriceClose_VA21PvaL <-> overlap_ratio_VA_11P_21P;36.7568;0.0392
bullish_imbalance_evolution <-> diffVolCandle_0_1Ratio;36.6228;0.0391
bear_imbalance_high_1 <-> bearish_absorption_intensity_repeat_count;36.5990;0.0390
bull_imbalance_high_2 <-> bearish_abs_diff_abv;36.5831;0.0390
bearish_ask_ratio <-> bearish_asc_ask_bid_delta_imbalance;36.5594;0.0390
VolPocVolCandleRatio <-> bullish_bid_ratio;36.5303;0.0390
price_volume_dynamic <-> perct_VA21P;36.4249;0.0389
perct_VA6P <-> bull_imbalance_low_1;36.4237;0.0389
bearish_ask_bid_ratio <-> bullish_bid_abs_ratio_blw;36.3927;0.0388
ratio_delta_vol_VA16P <-> bullish_dsc_dynamics;36.3569;0.0388
perct_VA21P <-> pocDeltaPocVolRatio;36.3153;0.0387
perctBB <-> extrem_asc_dsc_comparison_bearish_extrem;36.3109;0.0387
market_regimeADX <-> deltaTimestampOpeningSection5min;36.3105;0.0387
bullish_repeatAskBid_ratio <-> market_regimeADX;36.2890;0.0387
extrem_asc_dsc_comparison_bearish_extrem <-> bearish_extrem_abs_ratio_extrem;36.2346;0.0387
bull_imbalance_low_2 <-> imbalance_score_low;36.1928;0.0386
diffPriceCloseVWAP <-> ratio_delta_vol_VA6P;36.1856;0.0386
