Interaction;Value;Percentage_Contribution
perct_VA11P <-> deltaTimestampOpeningSection5min;3.1804;0.0987
cumDiffVolDeltaRatio <-> perctBB;3.0038;0.0932
perct_VA21P <-> bearish_imnbScore_score;2.6447;0.0821
bearish_combined_pressure <-> bearish_repeatAskBid_ratio;2.4214;0.0752
bullish_repeatAskBid_ratio <-> bearish_repeatAskBid_ratio;2.4036;0.0746
price_volume_dynamic <-> diffPriceClose_VA16PvaH;2.1642;0.0672
cumDiffVolDeltaRatio <-> bearish_bid_score;1.7392;0.0540
bearish_bid_score <-> diffHighPrice_0_4;1.7113;0.0531
bearish_ask_abs_ratio_abv <-> bearish_absorption_intensity_repeat_count;1.6093;0.0500
bearish_repeatAskBid_ratio <-> vol_volatility_score;1.5583;0.0484
bearish_combined_pressure <-> bull_imbalance_high_0;1.4809;0.0460
deltaTimestampOpeningSection5min <-> imbalance_score_low;1.4361;0.0446
diffPriceCloseVWAP <-> bearish_repeatAskBid_ratio;1.3054;0.0405
diffPriceCloseVWAP <-> bearish_dsc_ask_bid_delta_imbalance;1.2400;0.0385
bearish_dsc_ask_bid_delta_imbalance <-> vol_volatility_score;0.8792;0.0273
diffPriceCloseVWAP <-> bear_imbalance_high_2;0.7552;0.0234
price_volume_dynamic <-> perct_VA11P;0.5537;0.0172
bandWidthBB <-> bearish_imnbScore_score;0.5262;0.0163
diffHighPrice_0_4 <-> vol_volatility_score;0.5104;0.0158
diffPriceClose_VA11PvaH <-> price_volume_dynamic;0.1236;0.0038
bearish_asc_dynamics <-> perct_VA6P;0.1036;0.0032
VolPocVolCandleRatio <-> finished_auction_high;0.0000;0.0000
bearish_bid_score <-> bandWidthBB;0.0000;0.0000
bearish_imnbScore_score <-> bearish_bid_score;0.0000;0.0000
bearish_bid_score <-> bear_imbalance_high_3;0.0000;0.0000
vol_volatility_score <-> bear_imbalance_high_2;0.0000;0.0000
bearish_bid_score <-> diffPriceClose_VA16PvaH;0.0000;0.0000
VolPocVolCandleRatio <-> bearish_dsc_ask_bid_delta_imbalance;0.0000;0.0000
bearish_imnbScore_score <-> perctBB;0.0000;0.0000
VolPocVolCandleRatio <-> vol_volatility_score;0.0000;0.0000
VolPocVolCandleRatio <-> diffPriceClose_VA11PvaH;0.0000;0.0000
bearish_imnbScore_score <-> imbalance_score_low;0.0000;0.0000
bearish_imnbScore_score <-> bear_imbalance_high_2;0.0000;0.0000
bearish_bid_score <-> bearish_combined_pressure;0.0000;0.0000
bearish_bid_score <-> range_strength_5_23;0.0000;0.0000
bearish_bid_score <-> diffVolCandle_0_1Ratio;0.0000;0.0000
vol_volatility_score <-> perctBB;0.0000;0.0000
bearish_bid_score <-> bull_imbalance_high_0;0.0000;0.0000
bearish_bid_score <-> bearish_repeatAskBid_ratio;0.0000;0.0000
bearish_bid_score <-> bullish_dsc_ask_bid_delta_imbalance;0.0000;0.0000
VolPocVolCandleRatio <-> bearish_bid_score;0.0000;0.0000
bullish_ask_score <-> bearish_dsc_ask_bid_delta_imbalance;0.0000;0.0000
bearish_bid_score <-> deltaTimestampOpeningSection5min;0.0000;0.0000
VolPocVolCandleRatio <-> bandWidthBB;0.0000;0.0000
bearish_bid_score <-> perct_VA6P;0.0000;0.0000
bearish_bid_score <-> bearish_asc_dynamics;0.0000;0.0000
bearish_bid_score <-> bullish_imnbScore_score;0.0000;0.0000
VolPocVolCandleRatio <-> bearish_absorption_intensity_repeat_count;0.0000;0.0000
VolPocVolCandleRatio <-> diffPriceClose_VA16PvaH;0.0000;0.0000
VolPocVolCandleRatio <-> bear_imbalance_high_3;0.0000;0.0000
bearish_bid_score <-> bullish_repeatAskBid_ratio;0.0000;0.0000
bearish_imnbScore_score <-> bearish_dsc_ask_bid_imbalance;0.0000;0.0000
bearish_bid_score <-> diffPriceClose_VA11PvaH;0.0000;0.0000
bearish_bid_score <-> finished_auction_high;0.0000;0.0000
bearish_bid_score <-> vol_volatility_score;0.0000;0.0000
bearish_bid_score <-> bullish_ask_score;0.0000;0.0000
bearish_imnbScore_score <-> diffPriceClose_VA11PvaH;0.0000;0.0000
bearish_imnbScore_score <-> diffPriceClose_VA16PvaH;0.0000;0.0000
bearish_imnbScore_score <-> bull_imbalance_high_0;0.0000;0.0000
bearish_imnbScore_score <-> bearish_market_context_score;0.0000;0.0000
bearish_imnbScore_score <-> naked_poc_dist_above;0.0000;0.0000
bearish_imnbScore_score <-> bullish_ask_ratio;0.0000;0.0000
bearish_imnbScore_score <-> bullish_asc_ask_bid_delta_imbalance;0.0000;0.0000
VolPocVolCandleRatio <-> range_strength_5_23;0.0000;0.0000
bearish_imnbScore_score <-> range_strength_5_23;0.0000;0.0000
bearish_imnbScore_score <-> diffVolCandle_0_1Ratio;0.0000;0.0000
bearish_imnbScore_score <-> vol_volatility_score;0.0000;0.0000
bearish_imnbScore_score <-> bullish_ask_score;0.0000;0.0000
VolPocVolCandleRatio <-> bullish_asc_ask_bid_delta_imbalance;0.0000;0.0000
VolPocVolCandleRatio <-> naked_poc_dist_above;0.0000;0.0000
bearish_imnbScore_score <-> bullish_dsc_ask_bid_delta_imbalance;0.0000;0.0000
VolPocVolCandleRatio <-> diffVolCandle_0_1Ratio;0.0000;0.0000
bearish_imnbScore_score <-> deltaTimestampOpeningSection5min;0.0000;0.0000
bearish_imnbScore_score <-> perct_VA6P;0.0000;0.0000
VolPocVolCandleRatio <-> perct_VA11P;0.0000;0.0000
vol_volatility_score <-> imbalance_score_low;0.0000;0.0000
VolPocVolCandleRatio <-> bearish_market_context_score;0.0000;0.0000
VolPocVolCandleRatio <-> perct_VA21P;0.0000;0.0000
bearish_imnbScore_score <-> cumDiffVolDeltaRatio;0.0000;0.0000
VolPocVolCandleRatio <-> diffPriceCloseVWAP;0.0000;0.0000
VolPocVolCandleRatio <-> diffHighPrice_0_4;0.0000;0.0000
bearish_imnbScore_score <-> bullish_imnbScore_score;0.0000;0.0000
bearish_imnbScore_score <-> finished_auction_high;0.0000;0.0000
bearish_bid_score <-> bullish_asc_ask_bid_delta_imbalance;0.0000;0.0000
bearish_imnbScore_score <-> bearish_ask_abs_ratio_abv;0.0000;0.0000
bearish_bid_score <-> bullish_ask_ratio;0.0000;0.0000
bearish_bid_score <-> bearish_dsc_ask_bid_imbalance;0.0000;0.0000
bearish_bid_score <-> bearish_ask_abs_ratio_abv;0.0000;0.0000
bearish_imnbScore_score <-> poc_diff_ratio_6P_16P;0.0000;0.0000
bearish_bid_score <-> price_volume_dynamic;0.0000;0.0000
bearish_bid_score <-> poc_diff_ratio_6P_16P;0.0000;0.0000
bearish_imnbScore_score <-> bullish_repeatAskBid_ratio;0.0000;0.0000
bearish_imnbScore_score <-> bear_imbalance_high_3;0.0000;0.0000
vol_volatility_score <-> bearish_dsc_ask_bid_imbalance;0.0000;0.0000
bearish_bid_score <-> bear_imbalance_high_2;0.0000;0.0000
VolPocVolCandleRatio <-> bullish_repeatAskBid_ratio;0.0000;0.0000
bearish_bid_score <-> imbalance_score_low;0.0000;0.0000
bearish_imnbScore_score <-> VolPocVolCandleRatio;0.0000;0.0000
bearish_imnbScore_score <-> diffHighPrice_0_4;0.0000;0.0000
VolPocVolCandleRatio <-> bullish_imnbScore_score;0.0000;0.0000
bearish_imnbScore_score <-> price_volume_dynamic;0.0000;0.0000
VolPocVolCandleRatio <-> bearish_asc_dynamics;0.0000;0.0000
VolPocVolCandleRatio <-> perct_VA6P;0.0000;0.0000
bearish_imnbScore_score <-> bearish_dsc_ask_bid_delta_imbalance;0.0000;0.0000
VolPocVolCandleRatio <-> deltaTimestampOpeningSection5min;0.0000;0.0000
VolPocVolCandleRatio <-> bullish_dsc_ask_bid_delta_imbalance;0.0000;0.0000
VolPocVolCandleRatio <-> bearish_repeatAskBid_ratio;0.0000;0.0000
bearish_imnbScore_score <-> bearish_absorption_intensity_repeat_count;0.0000;0.0000
bearish_imnbScore_score <-> perct_VA11P;0.0000;0.0000
VolPocVolCandleRatio <-> bull_imbalance_high_0;0.0000;0.0000
bearish_bid_score <-> perctBB;0.0000;0.0000
bandWidthBB <-> bear_imbalance_high_3;0.0000;0.0000
diffPriceClose_VA16PvaH <-> bull_imbalance_high_0;0.0000;0.0000
diffPriceClose_VA16PvaH <-> bearish_dsc_ask_bid_delta_imbalance;0.0000;0.0000
diffPriceClose_VA16PvaH <-> bearish_absorption_intensity_repeat_count;0.0000;0.0000
diffPriceClose_VA16PvaH <-> perct_VA11P;0.0000;0.0000
diffPriceClose_VA16PvaH <-> diffHighPrice_0_4;0.0000;0.0000
diffPriceClose_VA16PvaH <-> diffPriceCloseVWAP;0.0000;0.0000
diffPriceClose_VA16PvaH <-> perct_VA21P;0.0000;0.0000
bearish_combined_pressure <-> diffPriceClose_VA16PvaH;0.0000;0.0000
diffPriceClose_VA16PvaH <-> naked_poc_dist_above;0.0000;0.0000
diffPriceClose_VA16PvaH <-> bullish_asc_ask_bid_delta_imbalance;0.0000;0.0000
diffPriceClose_VA16PvaH <-> range_strength_5_23;0.0000;0.0000
bullish_ask_score <-> perct_VA11P;0.0000;0.0000
bearish_combined_pressure <-> vol_volatility_score;0.0000;0.0000
bearish_combined_pressure <-> finished_auction_high;0.0000;0.0000
bearish_combined_pressure <-> deltaTimestampOpeningSection5min;0.0000;0.0000
bearish_combined_pressure <-> diffPriceClose_VA11PvaH;0.0000;0.0000
diffPriceClose_VA16PvaH <-> bullish_dsc_ask_bid_delta_imbalance;0.0000;0.0000
diffPriceClose_VA16PvaH <-> deltaTimestampOpeningSection5min;0.0000;0.0000
diffPriceClose_VA16PvaH <-> perct_VA6P;0.0000;0.0000
diffPriceClose_VA16PvaH <-> bearish_asc_dynamics;0.0000;0.0000
bearish_combined_pressure <-> bullish_repeatAskBid_ratio;0.0000;0.0000
diffPriceClose_VA16PvaH <-> diffPriceClose_VA11PvaH;0.0000;0.0000
bearish_combined_pressure <-> bullish_imnbScore_score;0.0000;0.0000
diffPriceClose_VA16PvaH <-> vol_volatility_score;0.0000;0.0000
bearish_combined_pressure <-> bearish_asc_dynamics;0.0000;0.0000
bearish_combined_pressure <-> perct_VA6P;0.0000;0.0000
diffPriceClose_VA16PvaH <-> bear_imbalance_high_3;0.0000;0.0000
bear_imbalance_high_3 <-> imbalance_score_low;0.0000;0.0000
bearish_combined_pressure <-> bullish_ask_score;0.0000;0.0000
bearish_combined_pressure <-> cumDiffVolDeltaRatio;0.0000;0.0000
bearish_combined_pressure <-> bullish_ask_ratio;0.0000;0.0000
bear_imbalance_high_3 <-> range_strength_5_23;0.0000;0.0000
bear_imbalance_high_3 <-> naked_poc_dist_above;0.0000;0.0000
bear_imbalance_high_3 <-> deltaTimestampOpeningSection5min;0.0000;0.0000
bear_imbalance_high_3 <-> perct_VA6P;0.0000;0.0000
bear_imbalance_high_3 <-> perct_VA21P;0.0000;0.0000
bear_imbalance_high_3 <-> perct_VA11P;0.0000;0.0000
bear_imbalance_high_3 <-> bearish_asc_dynamics;0.0000;0.0000
bear_imbalance_high_3 <-> bullish_imnbScore_score;0.0000;0.0000
bear_imbalance_high_3 <-> bullish_repeatAskBid_ratio;0.0000;0.0000
bear_imbalance_high_3 <-> diffPriceClose_VA11PvaH;0.0000;0.0000
bear_imbalance_high_3 <-> finished_auction_high;0.0000;0.0000
bear_imbalance_high_3 <-> bearish_dsc_ask_bid_delta_imbalance;0.0000;0.0000
bearish_combined_pressure <-> bearish_dsc_ask_bid_imbalance;0.0000;0.0000
bear_imbalance_high_3 <-> bullish_ask_score;0.0000;0.0000
bearish_combined_pressure <-> imbalance_score_low;0.0000;0.0000
bearish_combined_pressure <-> bear_imbalance_high_2;0.0000;0.0000
bear_imbalance_high_3 <-> cumDiffVolDeltaRatio;0.0000;0.0000
bearish_combined_pressure <-> perctBB;0.0000;0.0000
bearish_combined_pressure <-> poc_diff_ratio_6P_16P;0.0000;0.0000
bear_imbalance_high_3 <-> bearish_ask_abs_ratio_abv;0.0000;0.0000
bearish_combined_pressure <-> bearish_ask_abs_ratio_abv;0.0000;0.0000
bear_imbalance_high_3 <-> perctBB;0.0000;0.0000
bear_imbalance_high_3 <-> bear_imbalance_high_2;0.0000;0.0000
bearish_combined_pressure <-> bullish_dsc_ask_bid_delta_imbalance;0.0000;0.0000
bearish_bid_score <-> bearish_market_context_score;0.0000;0.0000
VolPocVolCandleRatio <-> bearish_ask_abs_ratio_abv;0.0000;0.0000
VolPocVolCandleRatio <-> imbalance_score_low;0.0000;0.0000
bandWidthBB <-> bearish_asc_dynamics;0.0000;0.0000
bandWidthBB <-> bullish_imnbScore_score;0.0000;0.0000
VolPocVolCandleRatio <-> bear_imbalance_high_2;0.0000;0.0000
bandWidthBB <-> diffPriceClose_VA11PvaH;0.0000;0.0000
VolPocVolCandleRatio <-> perctBB;0.0000;0.0000
bandWidthBB <-> vol_volatility_score;0.0000;0.0000
bear_imbalance_high_3 <-> bull_imbalance_high_0;0.0000;0.0000
VolPocVolCandleRatio <-> poc_diff_ratio_6P_16P;0.0000;0.0000
bandWidthBB <-> diffPriceClose_VA16PvaH;0.0000;0.0000
VolPocVolCandleRatio <-> price_volume_dynamic;0.0000;0.0000
bandWidthBB <-> bullish_ask_score;0.0000;0.0000
bandWidthBB <-> cumDiffVolDeltaRatio;0.0000;0.0000
VolPocVolCandleRatio <-> bullish_ask_ratio;0.0000;0.0000
bandWidthBB <-> bearish_ask_abs_ratio_abv;0.0000;0.0000
bandWidthBB <-> price_volume_dynamic;0.0000;0.0000
bandWidthBB <-> poc_diff_ratio_6P_16P;0.0000;0.0000
bandWidthBB <-> perctBB;0.0000;0.0000
VolPocVolCandleRatio <-> cumDiffVolDeltaRatio;0.0000;0.0000
bandWidthBB <-> bear_imbalance_high_2;0.0000;0.0000
bandWidthBB <-> imbalance_score_low;0.0000;0.0000
bandWidthBB <-> bearish_dsc_ask_bid_imbalance;0.0000;0.0000
bearish_bid_score <-> bearish_dsc_ask_bid_delta_imbalance;0.0000;0.0000
VolPocVolCandleRatio <-> bullish_ask_score;0.0000;0.0000
bearish_bid_score <-> diffPriceCloseVWAP;0.0000;0.0000
bearish_bid_score <-> perct_VA21P;0.0000;0.0000
bandWidthBB <-> perct_VA6P;0.0000;0.0000
bandWidthBB <-> deltaTimestampOpeningSection5min;0.0000;0.0000
bandWidthBB <-> bullish_dsc_ask_bid_delta_imbalance;0.0000;0.0000
VolPocVolCandleRatio <-> bearish_dsc_ask_bid_imbalance;0.0000;0.0000
diffPriceClose_VA16PvaH <-> bullish_ask_score;0.0000;0.0000
diffPriceClose_VA16PvaH <-> cumDiffVolDeltaRatio;0.0000;0.0000
diffPriceClose_VA16PvaH <-> bullish_ask_ratio;0.0000;0.0000
bearish_combined_pressure <-> diffVolCandle_0_1Ratio;0.0000;0.0000
bearish_combined_pressure <-> range_strength_5_23;0.0000;0.0000
diffPriceClose_VA16PvaH <-> bearish_ask_abs_ratio_abv;0.0000;0.0000
bearish_combined_pressure <-> bullish_asc_ask_bid_delta_imbalance;0.0000;0.0000
diffPriceClose_VA16PvaH <-> poc_diff_ratio_6P_16P;0.0000;0.0000
bearish_combined_pressure <-> naked_poc_dist_above;0.0000;0.0000
bearish_combined_pressure <-> perct_VA21P;0.0000;0.0000
diffPriceClose_VA16PvaH <-> bear_imbalance_high_2;0.0000;0.0000
diffPriceClose_VA16PvaH <-> imbalance_score_low;0.0000;0.0000
diffPriceClose_VA16PvaH <-> bearish_dsc_ask_bid_imbalance;0.0000;0.0000
bandWidthBB <-> bearish_absorption_intensity_repeat_count;0.0000;0.0000
bearish_combined_pressure <-> diffPriceCloseVWAP;0.0000;0.0000
bandWidthBB <-> perct_VA11P;0.0000;0.0000
bearish_combined_pressure <-> diffHighPrice_0_4;0.0000;0.0000
bearish_combined_pressure <-> perct_VA11P;0.0000;0.0000
bearish_combined_pressure <-> bearish_absorption_intensity_repeat_count;0.0000;0.0000
bandWidthBB <-> diffHighPrice_0_4;0.0000;0.0000
bandWidthBB <-> perct_VA21P;0.0000;0.0000
bandWidthBB <-> bearish_market_context_score;0.0000;0.0000
bandWidthBB <-> naked_poc_dist_above;0.0000;0.0000
bandWidthBB <-> bullish_asc_ask_bid_delta_imbalance;0.0000;0.0000
bearish_combined_pressure <-> bearish_dsc_ask_bid_delta_imbalance;0.0000;0.0000
bandWidthBB <-> range_strength_5_23;0.0000;0.0000
bandWidthBB <-> diffVolCandle_0_1Ratio;0.0000;0.0000
bullish_ask_score <-> diffHighPrice_0_4;0.0000;0.0000
bear_imbalance_high_2 <-> bearish_dsc_ask_bid_delta_imbalance;0.0000;0.0000
perctBB <-> imbalance_score_low;0.0000;0.0000
perctBB <-> bear_imbalance_high_2;0.0000;0.0000
perctBB <-> poc_diff_ratio_6P_16P;0.0000;0.0000
perctBB <-> price_volume_dynamic;0.0000;0.0000
perctBB <-> bearish_ask_abs_ratio_abv;0.0000;0.0000
perctBB <-> bullish_ask_ratio;0.0000;0.0000
perctBB <-> bullish_ask_score;0.0000;0.0000
perctBB <-> finished_auction_high;0.0000;0.0000
perctBB <-> diffPriceClose_VA11PvaH;0.0000;0.0000
perctBB <-> bearish_dsc_ask_bid_imbalance;0.0000;0.0000
bear_imbalance_high_2 <-> bearish_absorption_intensity_repeat_count;0.0000;0.0000
perctBB <-> bullish_imnbScore_score;0.0000;0.0000
bear_imbalance_high_2 <-> perct_VA11P;0.0000;0.0000
bear_imbalance_high_2 <-> finished_auction_high;0.0000;0.0000
bear_imbalance_high_2 <-> diffPriceClose_VA11PvaH;0.0000;0.0000
bear_imbalance_high_2 <-> bullish_repeatAskBid_ratio;0.0000;0.0000
bear_imbalance_high_2 <-> bullish_imnbScore_score;0.0000;0.0000
bear_imbalance_high_2 <-> bearish_asc_dynamics;0.0000;0.0000
bear_imbalance_high_2 <-> perct_VA6P;0.0000;0.0000
bear_imbalance_high_2 <-> bullish_dsc_ask_bid_delta_imbalance;0.0000;0.0000
bear_imbalance_high_2 <-> bearish_repeatAskBid_ratio;0.0000;0.0000
bear_imbalance_high_2 <-> bull_imbalance_high_0;0.0000;0.0000
bear_imbalance_high_2 <-> diffVolCandle_0_1Ratio;0.0000;0.0000
bear_imbalance_high_2 <-> range_strength_5_23;0.0000;0.0000
bear_imbalance_high_2 <-> bullish_asc_ask_bid_delta_imbalance;0.0000;0.0000
