feature;importance;importance_percentage;cumulative_importance_percentage
bearish_dsc_dynamics;0.0;0.0;100.00001
VolBlw_vol_ratio;0.0;0.0;100.00001
absorption_intensity_repeat_bullish_vol;0.0;0.0;100.00001
poc_diff_6P_21P;0.0;0.0;100.00001
poc_diff_11P_21P;0.0;0.0;100.00001
bearish_imbalance_evolution;0.0;0.0;100.00001
extrem_asc_dsc_comparison_bullish_extrem;0.0;0.0;100.00001
extrem_ask_bid_imbalance_bullish;0.0;0.0;100.00001
extrem_zone_significance_bullish_extrem;0.0;0.0;100.00001
extrem_dsc_ratio_bullish_extrem;0.0;0.0;100.00001
extrem_asc_ratio_bullish_extrem;0.0;0.0;100.00001
count_abv_tot_ratio;0.0;0.0;100.00001
