Interaction;Value;Percentage_Contribution
diffPriceCloseVWAP <-> diffVolDelta_0_1Ratio;8.7815;0.2020
diffLowPrice_0_5 <-> ratio_delta_vol_VA16P;8.7503;0.2013
cumDiffVolDeltaRatio <-> bullish_combined_pressure;8.4771;0.1950
perct_VA6P <-> diffPriceClose_VA6PPoc;8.4456;0.1943
diffHighPrice_0_4 <-> bearish_repeatAskBid_ratio;8.1929;0.1885
bearish_repeatAskBid_ratio <-> bearish_market_context_score;8.1805;0.1882
bull_imbalance_high_0 <-> perct_VA21P;8.0590;0.1854
bear_imbalance_low_0 <-> bearish_repeatAskBid_ratio;8.0232;0.1846
ratio_delta_vol_VA11P <-> bullish_imnbScore_score;7.9763;0.1835
range_strength_10_32 <-> diffLowPrice_0_4;7.8082;0.1796
overlap_ratio_VA_6P_21P <-> bear_imbalance_low_0;7.8015;0.1795
bull_imbalance_low_3 <-> ratio_delta_vol_VA21P;7.5909;0.1746
diffPriceCloseVWAP <-> bull_imbalance_low_1;7.5828;0.1744
diffPriceClosePoc_0_3 <-> bullish_repeatAskBid_ratio;7.5090;0.1727
bullish_combined_pressure <-> diffPriceClose_VA16PvaL;7.4932;0.1724
bear_imbalance_high_2 <-> bearish_dsc_ask_bid_delta_imbalance;7.4510;0.1714
perct_VA6P <-> bearish_asc_dsc_ratio;7.2759;0.1674
perct_VA11P <-> bearish_repeatAskBid_ratio;7.2403;0.1666
bearish_dsc_dynamics <-> overlap_ratio_VA_6P_21P;7.2031;0.1657
ratio_delta_vol_VA11P <-> bearish_asc_dsc_ratio;7.1366;0.1642
ratio_delta_vol_VA16P <-> diffPriceCloseVWAP;7.0113;0.1613
bearish_absorption_intensity_repeat_count <-> perct_VA6P;6.9564;0.1600
perct_VA6P <-> bearish_market_context_score;6.9347;0.1595
diffPriceClose_VA16PvaH <-> naked_poc_dist_below;6.8894;0.1585
bandWidthBB <-> diffPriceClosePoc_0_4;6.7868;0.1561
bullish_asc_ask_bid_delta_imbalance <-> bearish_bid_abs_ratio_abv;6.6594;0.1532
poc_diff_6P_21P <-> perct_VA21P;6.6192;0.1523
bearish_absorption_score <-> diffPriceClose_VA16PvaL;6.5758;0.1513
bearish_repeatAskBid_ratio <-> bull_imbalance_high_0;6.5626;0.1510
ratio_delta_vol_VA16P <-> bullish_combined_pressure;6.5589;0.1509
ratio_delta_vol_VA16P <-> bearish_dsc_ask_bid_delta_imbalance;6.5091;0.1497
bandWidthBB <-> bullish_combined_pressure;6.4814;0.1491
perct_VA6P <-> diffPriceClosePoc_0_4;6.4529;0.1484
VolPocVolCandleRatio <-> bear_imbalance_high_2;6.3691;0.1465
perct_VA6P <-> bull_imbalance_low_3;6.3647;0.1464
diffPriceClosePoc_0_3 <-> market_regimeADX;6.0389;0.1389
poc_diff_ratio_6P_21P <-> perctBB;5.9829;0.1376
bearish_ask_abs_ratio_abv <-> bear_imbalance_high_2;5.9795;0.1376
perct_VA6P <-> bear_imbalance_high_2;5.9055;0.1359
bearish_imnbScore_score <-> bearish_asc_dsc_ratio;5.8496;0.1346
range_strength_5_23 <-> bearish_imbalance_evolution;5.8095;0.1336
bearish_dsc_ask_bid_delta_imbalance <-> bullish_ask_ratio;5.7397;0.1320
range_strength_10_32 <-> perct_VA21P;5.7011;0.1312
deltaTimestampOpeningSection1min <-> perctBB;5.6828;0.1307
absorption_intensity_repeat_bearish_vol <-> poc_diff_ratio_6P_16P;5.5489;0.1277
bearish_absorption_score <-> price_volume_dynamic;5.5390;0.1274
bear_imbalance_high_1 <-> diffPriceClose_VA21PvaL;5.4843;0.1262
bearish_absorption_score <-> bearish_market_context_score;5.3964;0.1241
overlap_ratio_VA_6P_21P <-> market_regimeADX;5.3593;0.1233
diffLowPrice_0_3 <-> bearish_absorption_score;5.3400;0.1228
