Interaction;Value;Percentage_Contribution
bear_imbalance_low_0 <-> bear_imbalance_high_1;22.9029;0.2756
diffPriceClose_VA16PvaL <-> bullish_absorption_score;22.6523;0.2726
ratio_delta_vol_VA21P <-> diffPriceClose_VA21PPoc;22.4169;0.2697
price_volume_dynamic <-> bull_imbalance_high_2;22.3935;0.2694
bearish_dsc_dynamics <-> bullish_combined_pressure;22.3361;0.2688
absorption_intensity_repeat_bearish_vol <-> price_volume_dynamic;22.3322;0.2687
bullish_asc_ask_bid_imbalance <-> bearish_dsc_ask_bid_imbalance;22.0184;0.2649
bullish_repeatAskBid_ratio <-> ratio_delta_vol_VA6P;21.3035;0.2563
diffPriceClose_VA11PvaH <-> bandWidthBB;21.2697;0.2559
bullish_dsc_dynamics <-> cumDiffVolDeltaRatio;21.0545;0.2533
bandWidthBB <-> bull_imbalance_low_1;20.8638;0.2510
bullish_imnbScore_score <-> imbalance_score_low;20.8370;0.2507
VolCandleMeanxRatio <-> diffPriceClose_VA21PvaH;20.7970;0.2502
diffHighPrice_0_3 <-> bullish_dsc_ask_bid_delta_imbalance;20.6970;0.2490
perct_VA16P <-> bull_imbalance_low_3;20.0779;0.2416
naked_poc_dist_above <-> diffPriceCloseVWAP;20.0222;0.2409
bullish_ask_bid_ratio <-> bullish_imnbScore_score;19.9151;0.2396
poc_diff_6P_21P <-> perct_VA6P;19.8428;0.2388
pocDeltaPocVolRatio <-> vol_volatility_score;19.7802;0.2380
bearish_bid_score <-> perct_VA16P;19.7677;0.2379
diffPriceClose_VA16PvaL <-> diffPriceCloseVWAP;19.7168;0.2372
diffPriceClose_VA6PPoc <-> diffPriceCloseVWAP;19.6782;0.2368
range_strength_10_32 <-> diffPriceCloseVWAP;19.6245;0.2361
ratio_delta_vol_VA21P <-> absorption_intensity_repeat_bullish_vol;19.4378;0.2339
bearish_ask_score <-> price_volume_dynamic;19.3214;0.2325
bearish_combined_pressure <-> cumDiffVolDeltaRatio;19.3026;0.2323
range_strength_5_23 <-> perctBB;19.0911;0.2297
bull_imbalance_high_1 <-> bullish_asc_ask_bid_delta_imbalance;19.0046;0.2287
diffPriceClose_VA21PPoc <-> finished_auction_high;18.9734;0.2283
bullish_repeatAskBid_ratio <-> bearish_absorption_intensity_repeat_count;18.8738;0.2271
naked_poc_dist_above <-> bearish_imnbScore_score;18.8511;0.2268
perctBB <-> diffHighPrice_0_2;18.7920;0.2261
ratio_delta_vol_VA16P <-> perct_VA21P;18.7658;0.2258
vol_volatility_score <-> imbalance_score_high;18.6644;0.2246
bullish_combined_pressure <-> finished_auction_high;18.5918;0.2237
bearish_abs_diff_abv <-> bullish_asc_ask_bid_delta_imbalance;18.5263;0.2229
diffPriceClose_VA16PvaL <-> bear_imbalance_high_3;18.3252;0.2205
vol_volatility_score <-> cumDiffVolDeltaRatio;18.2586;0.2197
overlap_ratio_VA_6P_21P <-> bearish_absorption_score;18.1934;0.2189
diffPriceClose_VA6PvaH <-> deltaTimestampOpeningSection1min;18.0965;0.2177
bullish_dsc_ask_bid_imbalance <-> bearish_imnbScore_score;17.8414;0.2147
diffPriceClose_VA16PvaL <-> diffHighPrice_0_5;17.6328;0.2122
bearish_market_context_score <-> cumDiffVolDeltaRatio;17.6252;0.2121
bullish_asc_dsc_ratio <-> price_volume_dynamic;17.4865;0.2104
price_volume_dynamic <-> perct_VA6P;17.4493;0.2100
bullish_absorption_score <-> bullish_absorption_ratio;17.3792;0.2091
diffPriceCloseVWAP <-> bullish_absorption_ratio;17.3412;0.2087
finished_auction_high <-> bearish_repeatAskBid_ratio;17.3362;0.2086
bullish_absorption_score <-> price_volume_dynamic;16.9393;0.2038
bearish_market_context_score <-> pocDeltaPocVolRatio;16.8167;0.2023
bearish_ask_score <-> cumDiffVolDeltaRatio;16.7279;0.2013
bearish_imnbScore_score <-> deltaTimestampOpeningSection5min;16.5923;0.1996
VolCandleMeanxRatio <-> bullish_combined_pressure;16.5046;0.1986
bullish_repeatAskBid_ratio <-> diffPriceClosePoc_0_1;16.4218;0.1976
vol_volatility_score <-> bearish_imnbScore_score;16.3744;0.1970
bearish_absorption_score <-> diffPriceClosePoc_0_4;16.3414;0.1966
deltaTimestampOpeningSection5min <-> price_volume_dynamic;16.2750;0.1958
bear_imbalance_high_3 <-> bullish_asc_ask_bid_delta_imbalance;16.2431;0.1954
overlap_ratio_VA_6P_11P <-> bearish_ask_score;16.1458;0.1943
bearish_bid_score <-> diffPriceClose_VA21PPoc;16.0122;0.1927
bearish_asc_ask_bid_delta_imbalance <-> diffPriceClose_VA11PPoc;15.9912;0.1924
diffPriceClose_VA16PvaH <-> perct_VA6P;15.9466;0.1919
naked_poc_dist_above <-> ratio_delta_vol_VA16P;15.8930;0.1912
bandWidthBB <-> finished_auction_high;15.6976;0.1889
ratioDeltaAbv <-> bullish_repeatAskBid_ratio;15.6217;0.1880
bearish_imnbScore_score <-> bearish_absorption_intensity_repeat_count;15.5602;0.1872
perct_VA6P <-> diffHighPrice_0_3;15.4427;0.1858
bullish_absorption_score <-> diffPriceClosePoc_0_1;15.3500;0.1847
bearish_absorption_score <-> poc_diff_6P_16P;15.2089;0.1830
ratioDeltaAbv <-> perctBB;15.1230;0.1820
perct_VA11P <-> absorption_intensity_repeat_bearish_vol;15.0799;0.1814
bearish_dsc_ask_bid_delta_imbalance <-> poc_diff_6P_11P;14.9308;0.1797
price_volume_dynamic <-> bearish_repeatAskBid_ratio;14.8882;0.1791
perct_VA11P <-> diffPriceCloseVWAP;14.8835;0.1791
bearish_bid_score <-> bearish_combined_pressure;14.8367;0.1785
bearish_ask_score <-> bullish_repeatAskBid_ratio;14.6560;0.1763
bullish_combined_pressure <-> perct_VA6P;14.6467;0.1762
ratio_delta_vol_VA11P <-> deltaTimestampOpeningSection1min;14.6090;0.1758
deltaTimestampOpeningSection30min <-> bullish_dsc_dynamics;14.5653;0.1753
