true_label;predicted_label;prediction_probability;bearish_dsc_ask_bid_delta_imbalance;bearish_absorption_intensity_repeat_count;perct_VA11P;diffHighPrice_0_4;diffPriceCloseVWAP;perct_VA21P;bearish_market_context_score;naked_poc_dist_above;bullish_asc_ask_bid_delta_imbalance;range_strength_5_23;diffVolCandle_0_1Ratio;bull_imbalance_high_0;bearish_repeatAskBid_ratio;bullish_dsc_ask_bid_delta_imbalance;deltaTimestampOpeningSection5min;perct_VA6P;bearish_asc_dynamics;bullish_imnbScore_score;bullish_repeatAskBid_ratio;diffPriceClose_VA11PvaH;finished_auction_high;vol_volatility_score;VolPocVolCandleRatio;bearish_combined_pressure;bear_imbalance_high_3;diffPriceClose_VA16PvaH;bandWidthBB;bearish_bid_score;bearish_imnbScore_score;bullish_ask_score;cumDiffVolDeltaRatio;bullish_ask_ratio;bearish_ask_abs_ratio_abv;price_volume_dynamic;poc_diff_ratio_6P_16P;perctBB;bear_imbalance_high_2;imbalance_score_low;bearish_dsc_ask_bid_imbalance;is_error;error_type
0;0;0.5916066;-0.2926829268292683;0.3428571428571428;;0.75;1.7231000000001586;;-0.0520229244909962;-6.25;;;-0.5121951219512195;0.1;0.9105691056910568;;590;;0.0;;;-1.25;1;0.2852765196476569;0.5365853658536586;-0.0371205645245699;1.1153846153846154;-2.25;4.248;0.5284552845528455;0.4227642276422764;;0.8531198233020431;;0.3495934959349593;0.0001397523610693;0.0;0.4805;2.3529411764705883;-0.2321428571428571;0.6422764227642277;False;Correct
0;0;0.56490976;-0.2263681592039801;0.4814814814814814;0.6363636363636364;1.25;3.4291999999995824;0.3684210526315789;-0.440080594673063;-4.5;0.2258064516129032;;0.942211055276382;0.4814814814814814;0.9502487562189056;0.0419354838709677;590;0.875;0.3855721393034826;0.432258064516129;0.9193548387096774;0.5;1;1.808628836914452;0.3061797752808989;-0.2333854573129614;2.1666666666666665;2.0;3.4658;0.3308457711442786;0.2313432835820895;0.332258064516129;0.7856567284448026;0.6161290322580645;0.4900497512437811;0.0016099489066784;0.0005044701661948;0.9079;2.103448275862069;0.8407079646017699;0.3308457711442786;False;Correct
0;0;0.5845726;-0.0170212765957446;0.4513274336283185;0.8571428571428571;0.5;-6.33640000000014;-0.1818181818181818;-0.0146279850005791;-2.25;0.2580645161290322;0.9996069844478132;0.6646706586826348;1.5606060606060606;0.946808510638298;-0.6129032258064516;640;0.4;0.2191489361702127;0.2580645161290322;0.9032258064516128;0.75;0;1.0605892145480686;0.3073852295409182;0.0110346162952781;0.68;0.25;3.0293;0.1212765957446808;0.2765957446808511;0.2580645161290322;0.0529355149181905;0.3225806451612903;0.4893617021276595;-0.0020238422173316;0.0002246686137946;0.5983;1.8571428571428568;0.2075471698113207;0.2872340425531915;False;Correct
1;0;0.59243876;-0.0031347962382445;0.5877862595419847;0.5555555555555556;1.25;-5.495600000000195;0.0909090909090909;-0.0035796281519742;-1.5;0.582089552238806;;-0.1384615384615384;1.9545454545454544;0.9310344827586208;0.0646766169154228;645;0.7142857142857143;0.4702194357366771;0.5323383084577115;0.9402985074626866;0.25;0;1.4864989706685885;0.1923076923076923;0.0026509465062367;1.1666666666666667;1.0;2.3096;0.1567398119122257;0.0595611285266457;0.5373134328358209;-0.7018561484918793;0.8159203980099502;0.6614420062695925;-0.0017768878988825;0.0002246686137946;0.7937;0.3918918918918919;0.1645569620253164;0.1943573667711598;True;False Negative
0;0;0.54880196;-0.088455772113943;0.5243128964059197;0.4;1.0;-10.009799999999814;0.625;-0.31060635965034;-4.25;0.0825190010857763;11.99190374451816;0.7424433249370277;0.0153846153846153;0.970014992503748;-0.001085776330076;695;0.3333333333333333;0.3988005997001499;0.3029315960912052;0.9315960912052116;0.0;1;4.484276803633805;0.1939546599496221;0.1930475581678148;0.86;-0.25;1.7295;0.1679160419790105;0.1754122938530734;0.2334419109663409;0.2234823215476984;0.5200868621064061;0.4932533733133433;-0.0095256704503999;0.0;0.8436;0.6853932584269663;-0.1661016949152542;0.1829085457271364;False;Correct
0;0;0.57383245;-0.3375527426160337;0.5423728813559322;0.875;1.5;-9.458999999999833;0.7777777777777778;-0.1910445042302302;-3.75;;;-0.2489451476793249;0.2;0.8776371308016878;;705;;0.350210970464135;;;0.75;1;0.6436034870235557;0.6286919831223629;0.114116033289169;0.3953488372093023;0.25;2.96;0.4514767932489451;0.3544303797468354;;0.0435097897026831;;0.4641350210970464;-0.0013465517869631;0.0002249339256593;0.908;3.15;0.0443349753694581;0.4514767932489451;False;Correct
0;0;0.58607525;-0.2350230414746544;0.4050632911392405;-0.2222222222222222;-2.25;-9.64009999999962;0.2857142857142857;0.0144622931113045;-1.75;;;-0.3778801843317972;0.3333333333333333;0.967741935483871;;715;-0.2857142857142857;0.3271889400921659;;;-1.5;0;0.8173944560471469;0.4147465437788018;0.0556857798962489;0.3055555555555556;-0.5;2.5703;0.3087557603686636;0.2350230414746543;;0.2562936002426448;;0.4009216589861751;-0.001278159813498;0.0002249339256593;-0.1052;2.25;-0.04;0.3087557603686636;False;Correct
0;0;0.55617565;-0.076300578034682;0.5161764705882353;0.7777777777777778;2.0;-8.015599999999722;0.875;-0.3142408962858257;-3.0;0.0237430167597765;;0.6084756483238457;0.2222222222222222;0.9190751445086706;-0.0027932960893854;725;0.875;0.3618497109826589;0.4008379888268156;0.935754189944134;0.5;0;4.510077523953036;0.1929158760278304;0.1646905845865582;0.7204968944099379;-0.25;2.0732;0.1433526011560693;0.1572254335260115;0.2611731843575419;-0.7007299270072993;0.4986033519553072;0.5121387283236994;-0.0076428133180057;0.0002249339256593;0.9849;0.9664429530201344;0.2839506172839506;0.2265895953757225;False;Correct
0;0;0.5835236;0.0348360655737704;0.4552631578947368;1.0;1.5;-7.707999999999629;0.4444444444444444;0.0373025980890907;-2.75;;;0.3217213114754098;0.4065934065934066;0.9364754098360656;;730;-0.1111111111111111;0.0512295081967213;;;1.0;0;1.4298145192305716;0.3565573770491803;-0.021093651228068;0.7127659574468085;0.0;3.8037;0.0799180327868852;0.2561475409836066;;-0.3202614379084967;;0.5061475409836066;-0.0023161817935646;0.0002810962754743;0.8051;0.7951807228915663;0.1419354838709677;0.4200819672131147;False;Correct
0;0;0.57327056;0.0128755364806866;0.569327731092437;0.6875;3.25;-4.616699999999582;1.6;0.0588197583423075;-4.0;0.215541165587419;;0.8758426966292134;1.2894736842105263;0.9513590844062948;0.0259019426456984;735;0.7857142857142857;0.2503576537911302;0.4606845513413506;0.937095282146161;0.75;1;5.922881197783928;0.1612359550561797;-0.0334810233557602;1.100840336134454;3.0;5.6025;0.2775393419170243;0.3361945636623748;0.3839037927844588;-0.1512345679012345;0.606845513413506;0.580829756795422;-0.004854294606059;0.0005060301931348;1.0002;1.5121951219512195;0.5887850467289719;0.3175965665236051;False;Correct
0;0;0.57818884;-0.1383647798742138;0.5594594594594594;0.3571428571428571;1.75;-3.9862999999995736;1.2941176470588236;-0.1637648051034574;-3.5;0.2878787878787879;;0.72;0.1666666666666666;0.9475890985324948;-0.0858585858585858;750;1.25;0.5660377358490566;0.5151515151515151;0.8636363636363636;-0.5;1;1.3821446354066569;0.4;0.1376912674205952;0.4375;-0.75;4.0391;0.1446540880503144;0.1383647798742138;0.4292929292929293;0.1311030741410488;0.5808080808080808;0.5723270440251572;-0.0016187610659284;0.0;0.6654;3.055555555555556;0.3185185185185185;0.1446540880503144;False;Correct
